id,borough,neighborhood
nyu_2451_34572.127,Manhattan,Gramercy
nyu_2451_34572.128,Manhattan,Battery Park City
nyu_2451_34572.129,Manhattan,Financial District
nyu_2451_34572.130,Queens,Astoria
nyu_2451_34572.131,Queens,Woodside
nyu_2451_34572.132,Queens,Jackson Heights
nyu_2451_34572.133,Queens,Elmhurst
nyu_2451_34572.134,Queens,Howard Beach
nyu_2451_34572.135,Queens,Corona
nyu_2451_34572.136,Queens,Forest Hills
nyu_2451_34572.137,Queens,Kew Gardens
nyu_2451_34572.138,Queens,Richmond Hill
nyu_2451_34572.139,Queens,Flushing
nyu_2451_34572.140,Queens,Long Island City
nyu_2451_34572.141,Queens,Sunnyside
nyu_2451_34572.221,Staten Island,Sunnyside
nyu_2451_34572.142,Queens,East Elmhurst
nyu_2451_34572.143,Queens,Maspeth
nyu_2451_34572.144,Queens,Ridgewood
nyu_2451_34572.145,Queens,Glendale
nyu_2451_34572.146,Queens,Rego Park
nyu_2451_34572.147,Queens,Woodhaven
nyu_2451_34572.148,Queens,Ozone Park
nyu_2451_34572.149,Queens,South Ozone Park
nyu_2451_34572.150,Queens,College Point
nyu_2451_34572.151,Queens,Whitestone
nyu_2451_34572.152,Queens,Bayside
nyu_2451_34572.153,Queens,Auburndale
nyu_2451_34572.154,Queens,Little Neck
nyu_2451_34572.155,Queens,Douglaston
nyu_2451_34572.156,Queens,Glen Oaks
nyu_2451_34572.157,Queens,Bellerose
nyu_2451_34572.158,Queens,Kew Gardens Hills
nyu_2451_34572.159,Queens,Fresh Meadows
nyu_2451_34572.160,Queens,Briarwood
nyu_2451_34572.161,Queens,Jamaica Center
nyu_2451_34572.162,Queens,Oakland Gardens
nyu_2451_34572.163,Queens,Queens Village
nyu_2451_34572.164,Queens,Hollis
nyu_2451_34572.165,Queens,South Jamaica
nyu_2451_34572.166,Queens,St. Albans
nyu_2451_34572.167,Queens,Rochdale
nyu_2451_34572.168,Queens,Springfield Gardens
nyu_2451_34572.169,Queens,Cambria Heights
nyu_2451_34572.170,Queens,Rosedale
nyu_2451_34572.171,Queens,Far Rockaway
nyu_2451_34572.172,Queens,Broad Channel
nyu_2451_34572.173,Queens,Breezy Point
nyu_2451_34572.174,Queens,Steinway
nyu_2451_34572.175,Queens,Beechhurst
nyu_2451_34572.176,Queens,Bay Terrace
nyu_2451_34572.236,Staten Island,Bay Terrace
nyu_2451_34572.177,Queens,Edgemere
nyu_2451_34572.178,Queens,Arverne
nyu_2451_34572.179,Queens,Rockaway Beach
nyu_2451_34572.180,Queens,Neponsit
nyu_2451_34572.182,Queens,Floral Park
nyu_2451_34572.183,Queens,Holliswood
nyu_2451_34572.184,Queens,Jamaica Estates
nyu_2451_34572.185,Queens,Queensboro Hill
nyu_2451_34572.186,Queens,Hillcrest
nyu_2451_34572.187,Queens,Ravenswood
nyu_2451_34572.188,Queens,Lindenwood
nyu_2451_34572.189,Queens,Laurelton
nyu_2451_34572.190,Queens,Lefrak City
nyu_2451_34572.191,Queens,Belle Harbor
nyu_2451_34572.192,Queens,Rockaway Park
nyu_2451_34572.193,Queens,Somerville
nyu_2451_34572.194,Queens,Brookville
nyu_2451_34572.195,Queens,Bellaire
nyu_2451_34572.196,Queens,North Corona
nyu_2451_34572.197,Queens,Forest Hills Gardens
nyu_2451_34572.198,Staten Island,St. George
nyu_2451_34572.199,Staten Island,New Brighton
nyu_2451_34572.200,Staten Island,Stapleton
nyu_2451_34572.201,Staten Island,Rosebank
nyu_2451_34572.202,Staten Island,West Brighton
nyu_2451_34572.203,Staten Island,Grymes Hill
nyu_2451_34572.204,Staten Island,Todt Hill
nyu_2451_34572.205,Staten Island,South Beach
nyu_2451_34572.206,Staten Island,Port Richmond
nyu_2451_34572.207,Staten Island,Mariner's Harbor
nyu_2451_34572.208,Staten Island,Port Ivory
nyu_2451_34572.209,Staten Island,Castleton Corners
nyu_2451_34572.210,Staten Island,New Springville
nyu_2451_34572.211,Staten Island,Travis
nyu_2451_34572.212,Staten Island,New Dorp
nyu_2451_34572.213,Staten Island,Oakwood
nyu_2451_34572.214,Staten Island,Great Kills
nyu_2451_34572.215,Staten Island,Eltingville
nyu_2451_34572.216,Staten Island,Annadale
nyu_2451_34572.217,Staten Island,Woodrow
nyu_2451_34572.218,Staten Island,Tottenville
nyu_2451_34572.219,Staten Island,Tompkinsville
nyu_2451_34572.220,Staten Island,Silver Lake
nyu_2451_34572.222,Brooklyn,Ditmas Park
nyu_2451_34572.223,Brooklyn,Wingate
nyu_2451_34572.224,Brooklyn,Rugby
nyu_2451_34572.225,Staten Island,Park Hill
nyu_2451_34572.226,Staten Island,Westerleigh
nyu_2451_34572.227,Staten Island,Graniteville
nyu_2451_34572.228,Staten Island,Arlington
nyu_2451_34572.229,Staten Island,Arrochar
nyu_2451_34572.230,Staten Island,Grasmere
nyu_2451_34572.231,Staten Island,Old Town
nyu_2451_34572.232,Staten Island,Dongan Hills
nyu_2451_34572.233,Staten Island,Midland Beach
nyu_2451_34572.234,Staten Island,Grant City
nyu_2451_34572.235,Staten Island,New Dorp Beach
nyu_2451_34572.237,Staten Island,Huguenot
nyu_2451_34572.238,Staten Island,Pleasant Plains
nyu_2451_34572.239,Staten Island,Butler Manor
nyu_2451_34572.240,Staten Island,Charleston
nyu_2451_34572.241,Staten Island,Rossville
nyu_2451_34572.242,Staten Island,Arden Heights
nyu_2451_34572.243,Staten Island,Greenridge
nyu_2451_34572.244,Staten Island,Heartland Village
nyu_2451_34572.246,Staten Island,Bloomfield
nyu_2451_34572.247,Staten Island,Bulls Head
nyu_2451_34572.248,Manhattan,Carnegie Hill
nyu_2451_34572.249,Manhattan,Noho
nyu_2451_34572.250,Manhattan,Civic Center
nyu_2451_34572.251,Manhattan,Midtown South
nyu_2451_34572.252,Staten Island,Richmond Town
nyu_2451_34572.253,Staten Island,Shore Acres
nyu_2451_34572.254,Staten Island,Clifton
nyu_2451_34572.255,Staten Island,Concord
nyu_2451_34572.256,Staten Island,Emerson Hill
