id,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
nyu_2451_34572.116,clothing,bar,store,bank,restaurant
nyu_2451_34572.117,restaurant,school,bar,church,bank
nyu_2451_34572.118,clothing,school,bar,church,bank
nyu_2451_34572.119,school,bar,church,store,restaurant
nyu_2451_34572.120,bar,bank,store,clothing,restaurant
nyu_2451_34572.121,school,health,bar,church,bank
nyu_2451_34572.122,school,bar,church,bank,store
nyu_2451_34572.123,restaurant,school,bar,bank,store
nyu_2451_34572.124,school,store,restaurant,church,bank
nyu_2451_34572.125,school,church,store,restaurant,bank
nyu_2451_34572.126,office,school,bar,church,bank
nyu_2451_34572.127,restaurant,school,bar,bank,store
nyu_2451_34572.128,school,bar,bank,store,restaurant
nyu_2451_34572.129,bar,store,restaurant,bank,church
nyu_2451_34572.130,church,store,restaurant,bar,bank
nyu_2451_34572.131,store,clothing,restaurant,bar,church
nyu_2451_34572.132,church,store,clothing,restaurant,school
nyu_2451_34572.133,restaurant,store,bank,italian,church
nyu_2451_34572.134,store,clothing,restaurant,school,supermarket
nyu_2451_34572.135,restaurant,store,bank,clothing,school
nyu_2451_34572.136,restaurant,store,school,church,bar
nyu_2451_34572.137,restaurant,store,church,clothing,school
nyu_2451_34572.138,church,store,restaurant,clothing,bank
nyu_2451_34572.139,store,restaurant,school,bar,clothing
nyu_2451_34572.140,restaurant,store,school,bar,church
nyu_2451_34572.141,restaurant,church,store,school,supermarket
nyu_2451_34572.142,restaurant,store,school,bank,church
nyu_2451_34572.143,restaurant,store,church,clothing,bank
nyu_2451_34572.144,restaurant,store,church,school,clothing
nyu_2451_34572.145,store,restaurant,clothing,bank,school
nyu_2451_34572.146,restaurant,store,church,school,clothing
nyu_2451_34572.147,restaurant,store,school,church,clothing
nyu_2451_34572.148,restaurant,church,store,school,bar
nyu_2451_34572.149,store,restaurant,church,park,delis
nyu_2451_34572.150,restaurant,school,store,church,bank
nyu_2451_34572.151,church,store,bank,school,bar
nyu_2451_34572.152,restaurant,church,store,school,bar
nyu_2451_34572.153,restaurant,store,church,school,park
nyu_2451_34572.154,restaurant,store,church,school,park
nyu_2451_34572.155,restaurant,store,school,bank,health
nyu_2451_34572.156,restaurant,store,indpak,office,church
nyu_2451_34572.157,restaurant,store,school,bank,office
nyu_2451_34572.158,restaurant,store,school,bank,church
nyu_2451_34572.159,store,restaurant,school,church,bank
nyu_2451_34572.160,church,store,clothing,school,electronics store
nyu_2451_34572.161,restaurant,school,store,church,park
nyu_2451_34572.162,restaurant,store,school,bank,clothing
nyu_2451_34572.163,church,restaurant,store,school,pizza
nyu_2451_34572.164,church,clothing,restaurant,store,school
nyu_2451_34572.165,church,store,restaurant,school,clothing
nyu_2451_34572.166,church,store,restaurant,school,clothing
nyu_2451_34572.167,church,restaurant,store,school,clothing
nyu_2451_34572.168,store,restaurant,school,clothing,bank
nyu_2451_34572.169,store,restaurant,clothing,church,school
nyu_2451_34572.170,store,church,school,restaurant,supermarket
nyu_2451_34572.171,store,park,restaurant,bar,church
nyu_2451_34572.172,bar,store,restaurant,church,tourist attraction
nyu_2451_34572.173,restaurant,store,bar,clothing,bank
nyu_2451_34572.174,restaurant,store,school,church,park
nyu_2451_34572.175,store,restaurant,park,bank,clothing
nyu_2451_34572.176,park,store,church,restaurant,school
nyu_2451_34572.177,restaurant,store,church,park,supermarket
nyu_2451_34572.178,restaurant,store,school,bar,church
nyu_2451_34572.179,store,restaurant,park,health,bar
nyu_2451_34572.180,church,restaurant,store,korean,school
nyu_2451_34572.181,store,restaurant,bank,indpak,clothing
nyu_2451_34572.182,store,restaurant,church,school,health
nyu_2451_34572.183,restaurant,clothing,school,bank,church
nyu_2451_34572.184,restaurant,store,school,chinese,church
nyu_2451_34572.185,restaurant,school,church,store,bank
nyu_2451_34572.186,school,store,restaurant,bar,bank
nyu_2451_34572.187,restaurant,store,bank,school,health
nyu_2451_34572.188,restaurant,church,store,caribbean,school
nyu_2451_34572.189,restaurant,school,store,clothing,church
nyu_2451_34572.190,store,restaurant,park,school,health
nyu_2451_34572.191,store,restaurant,school,bar,clothing
nyu_2451_34572.192,restaurant,church,store,park,supermarket
nyu_2451_34572.193,church,store,restaurant,school,park
nyu_2451_34572.194,restaurant,store,church,school,delis
nyu_2451_34572.195,store,restaurant,church,clothing,school
nyu_2451_34572.196,restaurant,store,bank,clothing,school
nyu_2451_34572.197,restaurant,store,church,clothing,office
nyu_2451_34572.198,restaurant,store,church,office,school
nyu_2451_34572.199,restaurant,store,church,school,bar
nyu_2451_34572.200,restaurant,store,church,school,supermarket
nyu_2451_34572.201,restaurant,church,store,school,delis
nyu_2451_34572.202,store,church,restaurant,school,clothing
nyu_2451_34572.203,restaurant,store,park,school,church
nyu_2451_34572.204,restaurant,store,health,school,bank
nyu_2451_34572.205,restaurant,store,church,school,clothing
nyu_2451_34572.206,restaurant,store,church,clothing,bank
nyu_2451_34572.207,church,restaurant,store,park,supermarket
nyu_2451_34572.208,restaurant,store,bank,church,school
nyu_2451_34572.209,store,restaurant,health,school,clothing
nyu_2451_34572.210,restaurant,store,park,lodging,health
nyu_2451_34572.211,restaurant,store,school,bank,health
nyu_2451_34572.212,store,restaurant,bank,clothing,school
nyu_2451_34572.213,restaurant,store,bank,school,bar
nyu_2451_34572.214,restaurant,store,bank,school,supermarket
nyu_2451_34572.215,restaurant,store,school,health,park
nyu_2451_34572.216,restaurant,store,school,park,church
nyu_2451_34572.217,restaurant,church,italian,store,bank
nyu_2451_34572.218,restaurant,store,church,clothing,office
nyu_2451_34572.219,store,restaurant,church,school,clothing
nyu_2451_34572.220,store,restaurant,church,school,supermarket
nyu_2451_34572.221,church,store,restaurant,clothing,school
nyu_2451_34572.222,school,church,store,restaurant,clothing
nyu_2451_34572.223,restaurant,church,school,store,clothing
nyu_2451_34572.224,store,restaurant,school,supermarket,church
nyu_2451_34572.225,restaurant,store,church,bank,clothing
nyu_2451_34572.226,restaurant,store,school,church,bank
nyu_2451_34572.227,restaurant,store,church,park,supermarket
nyu_2451_34572.228,restaurant,store,school,bank,park
nyu_2451_34572.229,restaurant,store,school,italian,bank
nyu_2451_34572.230,restaurant,bank,store,school,park
nyu_2451_34572.231,restaurant,store,bank,school,pizza
nyu_2451_34572.232,restaurant,store,school,park,health
nyu_2451_34572.233,restaurant,store,school,bank,health
nyu_2451_34572.234,restaurant,store,bank,school,clothing
nyu_2451_34572.235,restaurant,store,school,bank,church
nyu_2451_34572.236,restaurant,school,store,park,church
nyu_2451_34572.237,store,restaurant,bank,bar,clothing
nyu_2451_34572.238,restaurant,store,school,bank,church
nyu_2451_34572.239,restaurant,store,clothing,italian,electronics store
nyu_2451_34572.240,restaurant,store,pizza,delis,bagels
nyu_2451_34572.241,restaurant,school,store,park,italian
nyu_2451_34572.242,restaurant,store,bank,health,school
nyu_2451_34572.243,store,clothing,restaurant,health,hotdogs
nyu_2451_34572.244,restaurant,store,office,school,health
nyu_2451_34572.245,store,office,restaurant,health,school
nyu_2451_34572.246,restaurant,school,store,church,bank
nyu_2451_34572.247,restaurant,school,store,clothing,bank
nyu_2451_34572.248,school,bar,church,bank,store
nyu_2451_34572.249,lodging,school,bar,bank,store
nyu_2451_34572.250,school,health,bar,church,bank
nyu_2451_34572.251,store,restaurant,school,pizza,tradamerican
nyu_2451_34572.252,restaurant,store,school,park,pizza
nyu_2451_34572.253,store,restaurant,church,school,bar
nyu_2451_34572.254,store,school,restaurant,supermarket,bank
nyu_2451_34572.255,restaurant,store,school,church,supermarket
nyu_2451_34572.256,restaurant,store,church,park,school
nyu_2451_34572.257,restaurant,bar,church,park,school
nyu_2451_34572.258,restaurant,store,church,supermarket,clothing
nyu_2451_34572.259,restaurant,store,school,church,supermarket
nyu_2451_34572.260,school,church,store,supermarket,clothing
nyu_2451_34572.261,restaurant,store,church,school,caribbean
nyu_2451_34572.262,restaurant,clothing,store,bank,school
nyu_2451_34572.263,store,clothing,restaurant,school,church
nyu_2451_34572.264,restaurant,school,store,church,bank
nyu_2451_34572.265,restaurant,school,store,church,bank
nyu_2451_34572.266,restaurant,store,bar,park,church
nyu_2451_34572.267,school,church,store,restaurant,supermarket
nyu_2451_34572.268,school,church,store,restaurant,clothing
nyu_2451_34572.269,school,church,store,restaurant,supermarket
nyu_2451_34572.270,school,church,store,restaurant,supermarket
nyu_2451_34572.271,restaurant,school,bar,bank,store
nyu_2451_34572.272,restaurant,store,bar,park,school
nyu_2451_34572.273,office,restaurant,bar,bank,clothing
nyu_2451_34572.274,office,school,bar,bank,restaurant
nyu_2451_34572.275,school,bar,restaurant,store,church
nyu_2451_34572.276,lodging,school,bar,church,bank
nyu_2451_34572.277,restaurant,store,church,bar,bank
nyu_2451_34572.278,restaurant,store,school,bank,bar
nyu_2451_34572.279,restaurant,bank,church,school,park
nyu_2451_34572.280,restaurant,school,church,store,park
nyu_2451_34572.281,school,restaurant,church,store,clothing
nyu_2451_34572.282,church,store,restaurant,school,clothing
nyu_2451_34572.283,restaurant,school,church,store,park
nyu_2451_34572.284,restaurant,store,church,bank,school
nyu_2451_34572.285,restaurant,store,bank,church,school
nyu_2451_34572.286,restaurant,store,park,bar,clothing
nyu_2451_34572.287,restaurant,school,park,health,church
nyu_2451_34572.288,park,church,tourist attraction,icecream,foodtrucks
nyu_2451_34572.289,restaurant,store,clothing,bank,school
nyu_2451_34572.290,store,restaurant,bank,delis,school
nyu_2451_34572.291,store,restaurant,school,church,bank
nyu_2451_34572.292,school,park,church,tourist attraction,store
nyu_2451_34572.293,store,restaurant,bank,clothing,italian
nyu_2451_34572.294,store,restaurant,bank,church,office
nyu_2451_34572.295,church,store,school,supermarket,burgers
nyu_2451_34572.296,store,school,bank,restaurant,clothing
nyu_2451_34572.297,restaurant,store,church,school,bank
nyu_2451_34572.298,restaurant,church,school,clothing,bank
nyu_2451_34572.299,restaurant,store,clothing,school,church
nyu_2451_34572.300,church,store,clothing,school,supermarket
nyu_2451_34572.301,school,bar,bank,store,clothing
nyu_2451_34572.302,restaurant,store,church,health,supermarket
nyu_2451_34572.303,store,restaurant,church,school,clothing
nyu_2451_34572.304,restaurant,school,store,church,lodging
nyu_2451_34572.305,store,restaurant,church,supermarket,school
