neighborhood,average price,type,,,,,,,,
Foxhurst,$947,studio,,,,,,,,
Flushing Meadows-Corona Park,"$1,650",studio,,,,,,,,
Van Cortlandt Park,"$1,400",studio,,,,,,,,
Brooklyn Navy Yard,"$3,000",studio,,,,,,,,
Upper West Side,"$2,750",1_bedroom,,,,,,,,
Bedford-Stuyvesant,"$1,975",1_bedroom,,,,,,,,
Bushwick,"$2,150",1_bedroom,,,,,,,,
Upper East Side,"$2,395",1_bedroom,,,,,,,,
Williamsburg,"$2,500",1_bedroom,,,,,,,,
Astoria,"$1,875",1_bedroom,,,,,,,,
Hell's Kitchen,"$2,742",1_bedroom,,,,,,,,
Crown Heights,"$1,850",1_bedroom,,,,,,,,
Midtown East,"$3,208",1_bedroom,,,,,,,,
Chelsea,"$3,125",1_bedroom,,,,,,,,
Flatbush,"$1,800",1_bedroom,,,,,,,,
Financial District,"$3,027",1_bedroom,,,,,,,,
Long Island City,"$2,500",1_bedroom,,,,,,,,
Flushing,"$1,750",1_bedroom,,,,,,,,
West Harlem,"$2,647",1_bedroom,,,,,,,,
Central Harlem,"$2,000",1_bedroom,,,,,,,,
East Village,"$2,425",1_bedroom,,,,,,,,
Murray Hill,"$3,350",1_bedroom,,,,,,,,
Ridgewood,"$1,800",1_bedroom,,,,,,,,
East Harlem,"$2,000",1_bedroom,,,,,,,,
Park Slope,"$2,475",1_bedroom,,,,,,,,
West Village,"$3,310",1_bedroom,,,,,,,,
Washington Heights,"$1,775",1_bedroom,,,,,,,,
Downtown Brooklyn,"$3,150",1_bedroom,,,,,,,,
Rego Park,"$1,850",1_bedroom,,,,,,,,
Kips Bay,"$2,698",1_bedroom,,,,,,,,
Theater District,"$3,300",1_bedroom,,,,,,,,
Greenpoint,"$2,400",1_bedroom,,,,,,,,
NoMad,"$4,750",1_bedroom,,,,,,,,
Bay Ridge,"$1,750",1_bedroom,,,,,,,,
East New York,"$1,750",1_bedroom,,,,,,,,
Elmhurst,"$1,800",1_bedroom,,,,,,,,
Bowery,"$2,999",1_bedroom,,,,,,,,
Clinton Hill,"$2,300",1_bedroom,,,,,,,,
Tribeca,"$3,800",1_bedroom,,,,,,,,
Forest Hills,"$1,900",1_bedroom,,,,,,,,
East Flatbush,"$1,725",1_bedroom,,,,,,,,
Gramercy Park,"$3,398",1_bedroom,,,,,,,,
Lower East Side,"$2,375",1_bedroom,,,,,,,,
Ocean Hill,"$1,800",1_bedroom,,,,,,,,
Jackson Heights,"$1,800",1_bedroom,,,,,,,,
Prospect Heights,"$2,375",1_bedroom,,,,,,,,
Woodside,"$1,700",1_bedroom,,,,,,,,
Greenwich Village,"$3,495",1_bedroom,,,,,,,,
Sheepshead Bay,"$1,665",1_bedroom,,,,,,,,
Bayside,"$1,850",1_bedroom,,,,,,,,
Flatiron District,"$5,483",1_bedroom,,,,,,,,
Sunset Park,"$1,725",1_bedroom,,,,,,,,
Carroll Gardens,"$2,400",1_bedroom,,,,,,,,
Soho,"$2,895",1_bedroom,,,,,,,,
Maspeth,"$1,750",1_bedroom,,,,,,,,
Battery Park City,"$2,733",1_bedroom,,,,,,,,
Corona,"$1,600",1_bedroom,,,,,,,,
Far Rockaway,"$1,775",1_bedroom,,,,,,,,
Greenwood Heights,"$1,900",1_bedroom,,,,,,,,
Boerum Hill,"$2,300",1_bedroom,,,,,,,,
Jamaica,"$1,815",1_bedroom,,,,,,,,
Gravesend,"$1,600",1_bedroom,,,,,,,,
Briarwood,"$1,700",1_bedroom,,,,,,,,
Canarsie,"$1,500",1_bedroom,,,,,,,,
Garment District,"$3,175",1_bedroom,,,,,,,,
NoLita,"$3,025",1_bedroom,,,,,,,,
Kew Gardens,"$1,800",1_bedroom,,,,,,,,
Fort Greene,"$2,500",1_bedroom,,,,,,,,
Chinatown,"$2,850",1_bedroom,,,,,,,,
Bensonhurst,"$1,500",1_bedroom,,,,,,,,
Kew Gardens Hills,"$1,699",1_bedroom,,,,,,,,
Glendale,"$1,675",1_bedroom,,,,,,,,
Middle Village,"$1,800",1_bedroom,,,,,,,,
Richmond Hill,"$1,695",1_bedroom,,,,,,,,
Midwood,"$1,688",1_bedroom,,,,,,,,
East Elmhurst,"$1,700",1_bedroom,,,,,,,,
Inwood,"$1,733",1_bedroom,,,,,,,,
Riverdale,"$1,850",1_bedroom,,,,,,,,
Queens Village,"$1,650",1_bedroom,,,,,,,,
St. Albans,"$1,450",1_bedroom,,,,,,,,
Mott Haven,"$2,100",1_bedroom,,,,,,,,
Dyker Heights,"$1,550",1_bedroom,,,,,,,,
Cypress Hills,"$1,900",1_bedroom,,,,,,,,
Two Bridges,"$1,827",1_bedroom,,,,,,,,
Koreatown,"$2,500",1_bedroom,,,,,,,,
Woodhaven,"$1,555",1_bedroom,,,,,,,,
Wakefield,"$1,600",1_bedroom,,,,,,,,
College Point,"$1,680",1_bedroom,,,,,,,,
Rockaway Beach,"$1,700",1_bedroom,,,,,,,,
Brownsville,"$1,650",1_bedroom,,,,,,,,
Auburndale,"$1,780",1_bedroom,,,,,,,,
Kensington,"$1,675",1_bedroom,,,,,,,,
Brighton Beach,"$1,850",1_bedroom,,,,,,,,
Bath Beach,"$1,575",1_bedroom,,,,,,,,
Brooklyn Heights,"$2,600",1_bedroom,,,,,,,,
Gowanus,"$2,000",1_bedroom,,,,,,,,
Stapleton,"$1,945",1_bedroom,,,,,,,,
Flatlands,"$1,600",1_bedroom,,,,,,,,
South Ozone Park,"$1,653",1_bedroom,,,,,,,,
Ozone Park,"$1,600",1_bedroom,,,,,,,,
Whitestone,"$1,999",1_bedroom,,,,,,,,
Tompkinsville,"$1,888",1_bedroom,,,,,,,,
Borough Park,"$1,700",1_bedroom,,,,,,,,
Rosedale,"$2,325",1_bedroom,,,,,,,,
Red Hook,"$2,000",1_bedroom,,,,,,,,
Concourse Village,"$1,700",1_bedroom,,,,,,,,
Throgs Neck,"$1,750",1_bedroom,,,,,,,,
Williamsbridge,"$1,700",1_bedroom,,,,,,,,
St. George,"$1,700",1_bedroom,,,,,,,,
Laurelton,"$1,600",1_bedroom,,,,,,,,
Glen Oaks,"$1,738",1_bedroom,,,,,,,,
NoHo,"$3,200",1_bedroom,,,,,,,,
Cobble Hill,"$2,400",1_bedroom,,,,,,,,
Fresh Meadows,"$1,750",1_bedroom,,,,,,,,
Pelham Bay,"$1,650",1_bedroom,,,,,,,,
Mapleton,"$1,590",1_bedroom,,,,,,,,
Bellerose,"$1,750",1_bedroom,,,,,,,,
Windsor Terrace,"$2,196",1_bedroom,,,,,,,,
DUMBO,"$3,386",1_bedroom,,,,,,,,
Hollis,"$1,600",1_bedroom,,,,,,,,
Concourse,"$1,650",1_bedroom,,,,,,,,
Highbridge,"$1,725",1_bedroom,,,,,,,,
Little Italy,"$2,250",1_bedroom,,,,,,,,
Hillcrest,"$1,650",1_bedroom,,,,,,,,
Civic Center,"$3,000",1_bedroom,,,,,,,,
Stuyvesant Town - Peter Cooper Village,"$3,606",1_bedroom,,,,,,,,
Central Park,"$3,623",1_bedroom,,,,,,,,
Howard Beach,"$1,675",1_bedroom,,,,,,,,
Jamaica Estates,"$1,738",1_bedroom,,,,,,,,
Parkchester,"$1,600",1_bedroom,,,,,,,,
Norwood,"$1,635",1_bedroom,,,,,,,,
Allerton,"$1,625",1_bedroom,,,,,,,,
Douglaston,"$2,058",1_bedroom,,,,,,,,
Kingsbridge,"$1,700",1_bedroom,,,,,,,,
City Island,"$1,600",1_bedroom,,,,,,,,
Great Kills,"$1,400",1_bedroom,,,,,,,,
Clason Point,"$1,700",1_bedroom,,,,,,,,
Morris Park,"$1,500",1_bedroom,,,,,,,,
Pelham Gardens,"$1,350",1_bedroom,,,,,,,,
Mount Hope,"$1,575",1_bedroom,,,,,,,,
