,borough,neighborhood,longitude,latitude,population,PC1,PC2,PC3,cluster
0,Bronx,Wakefield,-73.84720052054902,40.89470517661,21242.0,-3.719005906664144,0.8912746976963771,-0.7307441305776171,0
1,Bronx,Co-op City,-73.82993910812398,40.87429419303012,43752.0,-4.031916619108371,0.6520343000725611,0.06863650156591662,0
2,Bronx,Eastchester,-73.82780644716412,40.887555677350775,11506.0,-3.743483542857888,0.8224377629522245,-1.3869170397111552,0
3,Bronx,Fieldston,-73.90564259591682,40.89543742690383,9287.0,-4.466648386261512,2.128318725693943,-1.0308777999024903,0
4,Bronx,Riverdale,-73.9125854610857,40.890834493891305,9287.0,-2.387188502453365,0.9282390065350681,-0.48905882302002823,0
5,Bronx,Kingsbridge,-73.90281798724604,40.88168737120521,15080.0,3.2502197507217434,-6.253950056661266,1.8645977264815219,-1
6,Manhattan,Marble Hill,-73.91065965862981,40.87655077879964,23373.0,-0.9321282604367754,-1.6528215466698144,0.4503718439563705,0
7,Bronx,Woodlawn,-73.86731496814176,40.89827261213805,21242.0,-2.4432186058786756,0.5736875139499873,-0.8370781966751908,0
8,Bronx,Norwood,-73.8793907395681,40.87722415599446,40494.0,-1.0624699808356426,-3.86837148335743,2.5321790112110203,0
9,Bronx,Williamsbridge,-73.85744642974207,40.88103887819211,30660.0,-4.031255566019262,0.4303322365819401,-0.11809818391266423,0
10,Bronx,Baychester,-73.83579759808117,40.866858107252696,11506.0,-3.914565759715619,0.17991252375169547,-0.5703701261400309,0
11,Bronx,Pelham Parkway,-73.85475564017999,40.85741349808865,30073.0,-2.4120266660429315,-0.030832313282432244,0.23149173878989973,0
12,Bronx,City Island,-73.78648845267413,40.84724670491813,8861.0,-1.858336650800558,0.056089954223244996,-1.5369835010528645,0
13,Bronx,Bedford Park,-73.8855121841913,40.870185164975325,32649.0,-0.2564664379088858,-3.940351154172314,1.6986476923722234,0
14,Bronx,University Heights,-73.9104159619131,40.85572707719664,27094.0,-1.4798275970496568,-5.479219671432893,3.419127723625339,0
15,Bronx,Morris Heights,-73.91967159119565,40.84789792606271,27094.0,-1.3152141323003115,-3.985318604010029,1.9796502427758715,0
16,Bronx,Fordham,-73.89642655981623,40.86099679638654,50028.0,0.499909026118153,-6.620332824523681,4.44908352655219,1
17,Bronx,East Tremont,-73.88735617532338,40.84269615786053,43423.0,-2.263235106511109,-2.570228793674528,1.3347764744060906,0
18,Bronx,West Farms,-73.87774474910545,40.83947505672653,17506.0,-2.7717152969796177,-0.5661451422785437,0.6249950220065198,0
19,Bronx,High  Bridge,-73.9261020935813,40.836623010706056,37727.0,-2.687357124323928,-2.0245032292463807,0.7501460901246139,0
20,Bronx,Melrose,-73.90942160757436,40.819754370594936,38540.0,-2.334856155024397,-2.8164492635629785,1.086574893269721,0
21,Bronx,Mott Haven,-73.91609987487575,40.80623874935177,67827.0,-1.5031745069963083,-2.197926770113691,0.7755510322514811,0
22,Bronx,Port Morris,-73.91322139386135,40.801663627756206,4193.0,-4.015434371380116,1.050697337927409,-0.4649989961387542,0
23,Bronx,Longwood,-73.8957882009446,40.81509904545822,26196.0,-3.757411265468234,-1.459937179592503,0.5278502803159725,0
24,Bronx,Hunts Point,-73.88331505955291,40.80972987938709,27204.0,-4.12106506014651,1.272893023203764,-1.8524831143186278,0
25,Bronx,Morrisania,-73.90150648943059,40.82359198585534,18932.0,-2.960699053171796,-0.28620179552031527,0.39391082833780716,0
26,Bronx,Soundview,-73.86574609554924,40.821012197914015,35784.0,-3.7860577853987545,0.05657540511688698,0.1528786797957808,0
27,Bronx,Clason Point,-73.85414416189266,40.80655112003589,5988.0,-4.0428896351482955,1.634090069550792,-1.5214109346415965,0
28,Bronx,Throgs Neck,-73.81635002158441,40.81510925804005,14722.0,-3.7787285673105493,1.7686223745048082,-0.7205140180056337,0
29,Bronx,Country Club,-73.8240992675385,40.844245936947374,8861.0,-4.431083050202937,1.9945677652459834,-0.9903363454544888,0
30,Bronx,Parkchester,-73.85600310535783,40.837937822267286,29821.0,0.5716013943619703,-5.916547627121367,3.4655318740455523,1
31,Bronx,Westchester Square,-73.84219407604444,40.8406194964327,9750.0,-0.6140194651694804,-3.9585259147720064,2.8775697843285464,0
32,Bronx,Van Nest,-73.8662991807561,40.84360847124718,9750.0,-2.64104977632596,-0.9938433410637554,0.053469939101723436,0
33,Bronx,Morris Park,-73.85040178030421,40.847549063536334,9750.0,-0.6696356367590917,-2.6439806195952635,0.5767842156608823,0
34,Bronx,Belmont,-73.88845196134804,40.85727710073895,27378.0,6.453740255540393,-0.9200110094395447,-1.5152784314108942,2
35,Bronx,Spuyten Duyvil,-73.91719048210393,40.88139497727086,15080.0,-3.7296617122745523,1.8088174206449337,-0.9529025744044366,0
36,Bronx,North Riverdale,-73.90453054908927,40.90854282950666,9287.0,-2.038489168460853,0.5856552450236745,-0.2236505738730324,0
37,Bronx,Pelham Bay,-73.8320737824047,40.85064140940335,8861.0,-0.9336569057284779,-1.4591986124158147,1.567087894390033,0
38,Bronx,Schuylerville,-73.82620275994073,40.82657951686922,14722.0,-2.761581256905386,-1.29018763779724,0.8829409971607187,0
39,Bronx,Edgewater Park,-73.81388514428619,40.82198611816349,14722.0,-2.5995831875617315,1.6885009918778873,0.16462219459728464,0
40,Bronx,Castle Hill,-73.84802729582735,40.81901437698832,22454.0,-5.231599945271812,1.8952838550933266,-0.7962904884599946,0
41,Bronx,Olinville,-73.86332361652777,40.87137078192371,30660.0,-3.857629061035206,-0.46353350204608246,0.1124759135524849,0
42,Bronx,Pelham Gardens,-73.84161194831223,40.86296562477998,21242.0,-2.946187876646315,1.0830683902201999,-0.5058267005523583,0
43,Bronx,Concourse,-73.91558941773444,40.83428380733851,70424.0,-1.4667645408752068,-4.944411954141777,3.1445143588040785,0
44,Bronx,Unionport,-73.85053524451935,40.82977429787161,27248.0,-0.4656652118073678,-3.3666902136260664,2.534874813245585,0
45,Bronx,Edenwald,-73.84808271877168,40.88456130303732,11506.0,-4.371581810485675,1.7309662344708747,-1.033832857432788,0
46,Brooklyn,Bay Ridge,-74.03062069353813,40.625801065010656,79371.0,5.3778237725990286,-2.11622342011193,1.809665648561481,-1
47,Brooklyn,Bensonhurst,-73.99517998380729,40.61100890202044,151705.0,-1.9650092399239936,2.0846381193990675,4.962184911167138,-1
48,Brooklyn,Sunset Park,-74.01031618527784,40.64510294925429,126381.0,1.9584840123845533,-5.012965067788784,5.925373830686296,-1
49,Brooklyn,Greenpoint,-73.95424093127393,40.7302009848647,34719.0,6.283604235053485,0.425716972510325,-3.3446149916770413,2
50,Brooklyn,Gravesend,-73.97347087708445,40.59526001306593,29436.0,-1.8344493387413976,-0.6067495116396507,-0.3885000547869073,0
51,Brooklyn,Brighton Beach,-73.96509448785336,40.57682506566604,35547.0,3.6794829536036966,-8.583101675643995,1.3572234820291569,-1
52,Brooklyn,Sheepshead Bay,-73.94318640482979,40.58689012678384,21506.0,1.7449289105303076,-1.4371129832328715,1.2143975110987453,0
53,Brooklyn,Manhattan Terrace,-73.95743840559939,40.61443251335098,45000.0,2.0407520767700245,-7.800270834796137,2.0339401905662884,-1
54,Brooklyn,Flatbush,-73.95840106533903,40.63632589026677,105804.0,-1.3803718752694851,-2.166750929877521,0.5256393619898774,0
55,Brooklyn,Crown Heights,-73.94329119073582,40.67082917695294,142839.0,-0.46531872619945397,-3.472892608918613,-0.14892615723102026,0
56,Brooklyn,East Flatbush,-73.93610256185836,40.64171776668961,42483.0,-3.6160403379340686,1.2721220705089462,-0.7608661327344375,0
57,Brooklyn,Kensington,-73.98042110559474,40.642381958003526,18446.0,0.49044346149320145,-5.529178843819801,3.44753967096035,1
58,Brooklyn,Windsor Terrace,-73.98007340430172,40.65694583575104,20988.0,2.0419247245806766,-0.47959110211263467,-0.7513144317714258,0
59,Brooklyn,Prospect Heights,-73.9648592426269,40.67682226225472,19849.0,7.776196841356413,-0.3860485185556307,-2.256841649125634,2
60,Brooklyn,Brownsville,-73.91023536176607,40.66394994339755,58300.0,-2.850011788085877,-1.5539541382821735,1.628165921353859,0
61,Brooklyn,Williamsburg,-73.95811529220927,40.70714439344251,32926.0,4.279516766043749,-3.3946138612471186,-0.821389605211351,0
62,Brooklyn,Bushwick,-73.92525797487045,40.69811611017901,129239.0,6.003288148264764,-7.285726603152924,-0.6387738518305246,-1
63,Brooklyn,Bedford Stuyvesant,-73.94178488690297,40.687231607720456,42483.0,2.9710307782888665,-4.476020588954899,0.6885605030325532,0
64,Brooklyn,Brooklyn Heights,-73.99378225496424,40.69586372272408,11444.0,5.290687147901485,-0.6121318750614692,-0.30618414474519384,-1
65,Brooklyn,Cobble Hill,-73.99856139218463,40.68791972248557,11444.0,9.157601515749226,-0.4983084728005874,-2.8956359491862282,2
66,Brooklyn,Carroll Gardens,-73.99465372828006,40.680540231076485,19176.0,8.738440113376498,-0.09045012274532867,-3.283588553084885,2
67,Brooklyn,Red Hook,-74.0127589747356,40.676253230250886,19176.0,-0.9560191969001355,-0.16127623962639825,-0.17242114095411712,0
68,Brooklyn,Gowanus,-73.99444087145339,40.673931143187154,33824.0,4.153803483728205,-3.034072854388172,-0.7474386815118924,0
69,Brooklyn,Fort Greene,-73.97290574369092,40.68852726018977,26079.0,8.537294105333784,-0.8987857110079469,-3.3780831529703246,2
70,Brooklyn,Park Slope,-73.97705030183924,40.67232052268197,33824.0,4.971697526899568,-2.3656101225458515,-0.5484519817776339,0
