,borough,neighborhood,longitude,latitude,population,PC1,PC2,PC3,PC4,PC5,cluster
0,Bronx,Wakefield,-73.84720052054902,40.89470517661,21242.0,-0.2999392354396995,0.806299978323345,-0.27468099150015934,-0.27885557652071075,0.4704696846988225,-1
1,Bronx,Co-op City,-73.82993910812398,40.87429419303012,43752.0,-0.5181567708027076,0.5349393015194553,-0.13288069359913765,0.07605470902421581,0.22945800867118887,0
2,Bronx,Eastchester,-73.82780644716412,40.887555677350775,11506.0,-0.5389529254485282,0.44599647582055696,-0.10984802715424943,-0.2202854677689195,0.16162140462009952,0
3,Bronx,Fieldston,-73.90564259591682,40.89543742690383,9287.0,-0.538111552554458,-0.1793164740659275,0.13359891653096131,-0.2664081634836832,-0.33431529536233756,0
4,Bronx,Riverdale,-73.9125854610857,40.890834493891305,9287.0,-0.516147602315639,-0.01769137499653219,0.3587696352065416,-0.11468666427848237,-0.5210472105738879,0
5,Bronx,Kingsbridge,-73.90281798724604,40.88168737120521,15080.0,0.46436840244932165,0.41058465151014867,0.2941585205299909,-0.30183756373721893,-1.132454825899466,-1
6,Manhattan,Marble Hill,-73.91065965862981,40.87655077879964,23373.0,0.45352076282083575,0.805030540193982,-0.17366447296505888,-0.15332232284694686,-1.2778469524824154,-1
7,Bronx,Woodlawn,-73.86731496814176,40.89827261213805,21242.0,-0.36327500134531987,0.12616875832724325,0.22272703519230538,-0.45942863391489086,-0.47703760241891885,0
8,Bronx,Norwood,-73.8793907395681,40.87722415599446,40494.0,0.04290603085482082,0.8936856326076474,-0.2245118990528579,0.051417367049972594,-0.7392326958527919,1
9,Bronx,Williamsbridge,-73.85744642974207,40.88103887819211,30660.0,-0.13461435110212733,1.1937107915376588,-0.3761693516880529,0.01606197838326709,0.4228155521008252,-1
10,Bronx,Baychester,-73.83579759808117,40.866858107252696,11506.0,-0.4021395629348593,0.7543189999854552,0.11526047533752604,0.1512562877407201,0.20429471048608955,0
11,Bronx,Pelham Parkway,-73.85475564017999,40.85741349808865,30073.0,-0.13263860935977162,0.653749589826394,0.6762194102662241,0.22310074930972126,-0.3979709725013401,-1
12,Bronx,City Island,-73.78648845267413,40.84724670491813,8861.0,-0.9483488226574535,-0.40550348727951807,-0.2264947892511961,-0.28703109182869924,-0.4641337377912455,0
13,Bronx,Bedford Park,-73.8855121841913,40.870185164975325,32649.0,0.4074897950783606,0.8244221157527419,-0.17256224201746875,0.10162159940113967,-0.7264581080655409,1
14,Bronx,University Heights,-73.9104159619131,40.85572707719664,27094.0,0.5755622369262103,1.1307142036472466,-0.6704604449520428,0.30572515092212005,-0.6029706848331686,1
15,Bronx,Morris Heights,-73.91967159119565,40.84789792606271,27094.0,0.4674770541294375,0.970872373665378,-0.7135722178870572,0.05795960283338121,-0.4221323209473576,1
16,Bronx,Fordham,-73.89642655981623,40.86099679638654,50028.0,1.0962259089896498,0.6870530098903527,-0.11763939799138858,0.3395998450503205,-0.6441893053245066,-1
17,Bronx,East Tremont,-73.88735617532338,40.84269615786053,43423.0,0.06685585748113411,1.195575934707533,-0.5082778155592401,0.03646657480891561,-0.20994534714702115,1
18,Bronx,West Farms,-73.87774474910545,40.83947505672653,17506.0,0.2778291084640352,1.1014896400520062,-0.435028835051344,0.17337820566878823,-0.5284784269920848,1
19,Bronx,High  Bridge,-73.9261020935813,40.836623010706056,37727.0,0.7242728941962615,1.09681677806123,-0.6765207710829501,0.20822554586814865,-0.7834585718750429,1
20,Bronx,Melrose,-73.90942160757436,40.819754370594936,38540.0,0.2918559862072228,0.928080826381978,-0.6637632160210275,0.23491929789243501,-0.5928611331802847,1
21,Bronx,Mott Haven,-73.91609987487575,40.80623874935177,67827.0,0.3980223461832242,0.592134280152459,-0.17333510567684027,-0.10510939797684402,-0.0323032474831032,2
22,Bronx,Port Morris,-73.91322139386135,40.801663627756206,4193.0,-0.3848464860122922,0.47562555173320953,-0.14684352803645734,-0.4282578392487686,-0.20100463520023476,0
23,Bronx,Longwood,-73.8957882009446,40.81509904545822,26196.0,-0.014177861706992366,0.8055763977577076,-0.3478475443403352,0.03784468455668168,-0.6582012648394543,1
24,Bronx,Hunts Point,-73.88331505955291,40.80972987938709,27204.0,-0.9552179762738815,-0.21780703784143277,-0.6179129101867682,-0.03343571206720803,-0.2847576258562474,0
25,Bronx,Morrisania,-73.90150648943059,40.82359198585534,18932.0,0.4053671312191602,1.2914241376495152,-0.6869117732861995,0.16453299544066996,-0.5226768965911723,1
26,Bronx,Soundview,-73.86574609554924,40.821012197914015,35784.0,-0.2559588648471157,1.1831144068745167,-0.11929642716811859,-0.3374800477020322,0.7251659476137128,-1
27,Bronx,Clason Point,-73.85414416189266,40.80655112003589,5988.0,-1.165877009943115,-0.5134561925369533,-0.7455610024004214,-0.06737309442901024,0.14515662933851514,0
28,Bronx,Throgs Neck,-73.81635002158441,40.81510925804005,14722.0,-1.123375288912157,-0.4383503902814716,-0.376178570275406,-0.0019615835428124172,-0.24780476602960652,0
29,Bronx,Country Club,-73.8240992675385,40.844245936947374,8861.0,-0.6682835524122395,0.08477690193539078,0.21902199032759798,-0.012593720930779635,-0.4944681005307407,0
30,Bronx,Parkchester,-73.85600310535783,40.837937822267286,29821.0,0.44047777141560857,1.103084930273736,-0.27633529412018004,0.17664669816622894,-0.7526506801726295,1
31,Bronx,Westchester Square,-73.84219407604444,40.8406194964327,9750.0,0.04834022053030687,0.7287044565318851,0.23914799940132217,0.016635806691437494,-0.7720974591998939,1
