,borough,neighborhood,longitude,latitude
0,Bronx,Wakefield,-73.84720052054902,40.89470517661
1,Bronx,Co-op City,-73.82993910812398,40.87429419303012
2,Bronx,Eastchester,-73.82780644716412,40.887555677350775
3,Bronx,Fieldston,-73.90564259591682,40.89543742690383
4,Bronx,Riverdale,-73.9125854610857,40.890834493891305
5,Bronx,Kingsbridge,-73.90281798724604,40.88168737120521
6,Manhattan,Marble Hill,-73.91065965862981,40.87655077879964
7,Bronx,Woodlawn,-73.86731496814176,40.89827261213805
8,Bronx,Norwood,-73.8793907395681,40.87722415599446
9,Bronx,Williamsbridge,-73.85744642974207,40.88103887819211
10,Bronx,Baychester,-73.83579759808117,40.866858107252696
11,Bronx,Pelham Parkway,-73.85475564017999,40.85741349808865
12,Bronx,City Island,-73.78648845267413,40.84724670491813
13,Bronx,Bedford Park,-73.8855121841913,40.870185164975325
14,Bronx,University Heights,-73.9104159619131,40.85572707719664
15,Bronx,Morris Heights,-73.91967159119565,40.84789792606271
16,Bronx,Fordham,-73.89642655981623,40.86099679638654
17,Bronx,East Tremont,-73.88735617532338,40.84269615786053
18,Bronx,West Farms,-73.87774474910545,40.83947505672653
19,Bronx,High  Bridge,-73.9261020935813,40.836623010706056
20,Bronx,Melrose,-73.90942160757436,40.819754370594936
21,Bronx,Mott Haven,-73.91609987487575,40.80623874935177
22,Bronx,Port Morris,-73.91322139386135,40.801663627756206
23,Bronx,Longwood,-73.8957882009446,40.81509904545822
24,Bronx,Hunts Point,-73.88331505955291,40.80972987938709
25,Bronx,Morrisania,-73.90150648943059,40.82359198585534
26,Bronx,Soundview,-73.86574609554924,40.821012197914015
27,Bronx,Clason Point,-73.85414416189266,40.80655112003589
28,Bronx,Throgs Neck,-73.81635002158441,40.81510925804005
29,Bronx,Country Club,-73.8240992675385,40.844245936947374
30,Bronx,Parkchester,-73.85600310535783,40.837937822267286
31,Bronx,Westchester Square,-73.84219407604444,40.8406194964327
32,Bronx,Van Nest,-73.8662991807561,40.84360847124718
33,Bronx,Morris Park,-73.85040178030421,40.847549063536334
34,Bronx,Belmont,-73.88845196134804,40.85727710073895
35,Bronx,Spuyten Duyvil,-73.91719048210393,40.88139497727086
36,Bronx,North Riverdale,-73.90453054908927,40.90854282950666
37,Bronx,Pelham Bay,-73.8320737824047,40.85064140940335
38,Bronx,Schuylerville,-73.82620275994073,40.82657951686922
39,Bronx,Edgewater Park,-73.81388514428619,40.821986118163494
40,Bronx,Castle Hill,-73.84802729582735,40.819014376988314
41,Bronx,Olinville,-73.86332361652777,40.87137078192371
42,Bronx,Pelham Gardens,-73.84161194831223,40.86296562477998
43,Bronx,Concourse,-73.91558941773444,40.83428380733851
44,Bronx,Unionport,-73.85053524451935,40.82977429787161
45,Bronx,Edenwald,-73.84808271877168,40.88456130303732
46,Brooklyn,Bay Ridge,-74.03062069353813,40.625801065010656
47,Brooklyn,Bensonhurst,-73.99517998380729,40.61100890202044
48,Brooklyn,Sunset Park,-74.01031618527784,40.64510294925429
49,Brooklyn,Greenpoint,-73.95424093127393,40.7302009848647
50,Brooklyn,Gravesend,-73.97347087708445,40.59526001306593
51,Brooklyn,Brighton Beach,-73.96509448785336,40.57682506566604
52,Brooklyn,Sheepshead Bay,-73.94318640482979,40.58689012678384
53,Brooklyn,Manhattan Terrace,-73.95743840559939,40.61443251335098
54,Brooklyn,Flatbush,-73.95840106533903,40.63632589026677
55,Brooklyn,Crown Heights,-73.94329119073582,40.67082917695294
56,Brooklyn,East Flatbush,-73.93610256185836,40.64171776668961
57,Brooklyn,Kensington,-73.98042110559474,40.642381958003526
58,Brooklyn,Windsor Terrace,-73.98007340430172,40.65694583575104
59,Brooklyn,Prospect Heights,-73.9648592426269,40.676822262254724
60,Brooklyn,Brownsville,-73.91023536176607,40.66394994339755
61,Brooklyn,Williamsburg,-73.95811529220927,40.70714439344251
62,Brooklyn,Bushwick,-73.92525797487045,40.69811611017901
63,Brooklyn,Bedford Stuyvesant,-73.94178488690297,40.687231607720456
64,Brooklyn,Brooklyn Heights,-73.99378225496424,40.695863722724084
65,Brooklyn,Cobble Hill,-73.99856139218463,40.687919722485574
66,Brooklyn,Carroll Gardens,-73.99465372828006,40.680540231076485
67,Brooklyn,Red Hook,-74.0127589747356,40.676253230250886
68,Brooklyn,Gowanus,-73.99444087145339,40.673931143187154
69,Brooklyn,Fort Greene,-73.97290574369092,40.68852726018977
70,Brooklyn,Park Slope,-73.97705030183924,40.67232052268197
71,Brooklyn,Cypress Hills,-73.87661596457296,40.68239101144211
72,Brooklyn,East New York,-73.88069863917366,40.669925700847045
73,Brooklyn,Starrett City,-73.87936970045875,40.64758905230874
74,Brooklyn,Canarsie,-73.90209269778966,40.63556432797428
75,Brooklyn,Flatlands,-73.92911302644674,40.630446043757466
76,Brooklyn,Mill Island,-73.90818571777423,40.606336421685626
77,Brooklyn,Manhattan Beach,-73.94353722891886,40.57791350308657
78,Brooklyn,Coney Island,-73.98868295821637,40.57429256471601
79,Brooklyn,Bath Beach,-73.99875221443519,40.59951870282238
80,Brooklyn,Borough Park,-73.99049823044811,40.633130512758015
81,Brooklyn,Dyker Heights,-74.01931375636022,40.619219457722636
82,Brooklyn,Gerritsen Beach,-73.93010170691196,40.590848433902046
83,Brooklyn,Marine Park,-73.93134404108497,40.609747779894604
84,Brooklyn,Clinton Hill,-73.96784306216367,40.693229421881504
85,Brooklyn,Sea Gate,-74.0078731120024,40.57637537890224
86,Brooklyn,Downtown,-73.98346337431099,40.69084402109802
87,Brooklyn,Boerum Hill,-73.98374824115798,40.685682912091444
88,Brooklyn,Prospect Lefferts Gardens,-73.95489867077713,40.658420017469815
89,Brooklyn,Ocean Hill,-73.91306831787395,40.678402554795355
90,Brooklyn,City Line,-73.86797598081334,40.67856995727479
91,Brooklyn,Bergen Beach,-73.89855633630317,40.61514955045308
92,Brooklyn,Midwood,-73.95759523489838,40.62559589869843
93,Brooklyn,Prospect Park South,-73.96261316716048,40.647008603185185
94,Brooklyn,Georgetown,-73.91607483951324,40.62384524478419
95,Brooklyn,East Williamsburg,-73.93885815269195,40.70849241041548
96,Brooklyn,North Side,-73.95880857587582,40.714822906532014
97,Brooklyn,South Side,-73.95800095153331,40.71086147265064
98,Brooklyn,Ocean Parkway,-73.96836678035541,40.61305976667942
99,Brooklyn,Fort Hamilton,-74.03197914537984,40.61476812694226
100,Manhattan,Chinatown,-73.99427936255978,40.71561842231432
101,Manhattan,Washington Heights,-73.93690027985234,40.85190252555305
102,Manhattan,Inwood,-73.92121042203897,40.86768396449915
103,Manhattan,Hamilton Heights,-73.94968791883366,40.823604284811935
104,Manhattan,Manhattanville,-73.9573853935188,40.8169344294978
105,Manhattan,Central Harlem,-73.94321112603905,40.81597606742414
106,Manhattan,East Harlem,-73.94418223148524,40.79224946663033
107,Manhattan,Upper East Side,-73.96050763135,40.775638573301805
108,Manhattan,Yorkville,-73.94711784471826,40.775929849884875
109,Manhattan,Lenox Hill,-73.9588596881376,40.76811265828733
110,Manhattan,Roosevelt Island,-73.94916769227953,40.76215960576283
111,Manhattan,Upper West Side,-73.97705923630603,40.787657998534854
112,Manhattan,Lincoln Square,-73.98533777001262,40.77352888942166
113,Manhattan,Clinton,-73.99611936309479,40.75910089146212
114,Manhattan,Midtown,-73.98166882730304,40.75469110270623
115,Manhattan,Murray Hill,-73.97833207924127,40.748303077252174
116,Manhattan,Chelsea,-74.00311633472813,40.744034706747975
117,Manhattan,Greenwich Village,-73.99991402945902,40.72693288536128
118,Manhattan,East Village,-73.98222616506416,40.727846777270244
119,Manhattan,Lower East Side,-73.98089031999291,40.71780674892765
120,Manhattan,Tribeca,-74.01068328559087,40.721521967443216
121,Manhattan,Little Italy,-73.99730467208073,40.71932379395907
122,Manhattan,Soho,-74.00065666959759,40.72218384131794
123,Manhattan,West Village,-74.00617998126812,40.73443393572434
