,neighborhood,borough,coordinates,longitude,latitude
259,Remsen Village,Brooklyn,"[-73.91665331978048, 40.652117451793494]",-73.91665331978048,40.652117451793494
260,New Lots,Brooklyn,"[-73.88511776379292, 40.6627442796966]",-73.88511776379292,40.6627442796966
261,Paerdegat Basin,Brooklyn,"[-73.90233474295836, 40.63131755039667]",-73.90233474295836,40.63131755039667
262,Mill Basin,Brooklyn,"[-73.91515391550404, 40.61597423962336]",-73.91515391550404,40.61597423962336
263,Jamaica Hills,Queens,"[-73.79646462081593, 40.71145964370482]",-73.79646462081593,40.71145964370482
264,Utopia,Queens,"[-73.79671678028349, 40.73350025429757]",-73.79671678028349,40.73350025429757
265,Pomonok,Queens,"[-73.80486120040537, 40.73493618075478]",-73.80486120040537,40.73493618075478
266,Astoria Heights,Queens,"[-73.89467996270574, 40.7703173929982]",-73.89467996270574,40.7703173929982
267,Claremont Village,Bronx,"[-73.90119903387667, 40.83142834161548]",-73.90119903387667,40.83142834161548
268,Concourse Village,Bronx,"[-73.91584652759009, 40.824780490842905]",-73.91584652759009,40.824780490842905
269,Mount Eden,Bronx,"[-73.91655551964419, 40.84382617671654]",-73.91655551964419,40.84382617671654
270,Mount Hope,Bronx,"[-73.90829930881988, 40.84884160724665]",-73.90829930881988,40.84884160724665
271,Sutton Place,Manhattan,"[-73.96355614094303, 40.76028033131374]",-73.96355614094303,40.76028033131374
272,Hunters Point,Queens,"[-73.95386782130745, 40.743414090073536]",-73.95386782130745,40.743414090073536
273,Turtle Bay,Manhattan,"[-73.96770824581834, 40.75204236950722]",-73.96770824581834,40.75204236950722
274,Tudor City,Manhattan,"[-73.97121928722265, 40.746917410740195]",-73.97121928722265,40.746917410740195
275,Stuyvesant Town,Manhattan,"[-73.97405170469203, 40.73099955477061]",-73.97405170469203,40.73099955477061
276,Flatiron,Manhattan,"[-73.9909471052826, 40.739673047638426]",-73.9909471052826,40.739673047638426
277,Sunnyside Gardens,Queens,"[-73.91819286431682, 40.74565180608076]",-73.91819286431682,40.74565180608076
278,Blissville,Queens,"[-73.93244235260178, 40.73725071694497]",-73.93244235260178,40.73725071694497
279,Fulton Ferry,Brooklyn,"[-73.99550751888415, 40.70328109093014]",-73.99550751888415,40.70328109093014
280,Vinegar Hill,Brooklyn,"[-73.98111603592393, 40.70332149882874]",-73.98111603592393,40.70332149882874
281,Weeksville,Brooklyn,"[-73.93053108817338, 40.67503986503237]",-73.93053108817338,40.67503986503237
282,Broadway Junction,Brooklyn,"[-73.90331684852599, 40.67786104769531]",-73.90331684852599,40.67786104769531
283,Dumbo,Brooklyn,"[-73.9887528074504, 40.70317632822692]",-73.9887528074504,40.70317632822692
284,Manor Heights,Staten Island,"[-74.12059399718001, 40.60180957631444]",-74.12059399718001,40.60180957631444
285,Willowbrook,Staten Island,"[-74.13208447484298, 40.60370692627371]",-74.13208447484298,40.60370692627371
286,Sandy Ground,Staten Island,"[-74.21776636068567, 40.541139922091766]",-74.21776636068567,40.541139922091766
287,Egbertville,Staten Island,"[-74.12727240604946, 40.579118742961214]",-74.12727240604946,40.579118742961214
288,Roxbury,Queens,"[-73.89213760232822, 40.56737588957032]",-73.89213760232822,40.56737588957032
289,Homecrest,Brooklyn,"[-73.95918459428702, 40.598525095137255]",-73.95918459428702,40.598525095137255
290,Middle Village,Queens,"[-73.88114319200604, 40.716414511158185]",-73.88114319200604,40.716414511158185
291,Prince's Bay,Staten Island,"[-74.20152556457658, 40.52626406734812]",-74.20152556457658,40.52626406734812
292,Lighthouse Hill,Staten Island,"[-74.13792663771568, 40.57650629379489]",-74.13792663771568,40.57650629379489
293,Richmond Valley,Staten Island,"[-74.22957080626941, 40.51954145748909]",-74.22957080626941,40.51954145748909
294,Malba,Queens,"[-73.82667757138641, 40.79060155670148]",-73.82667757138641,40.79060155670148
295,Highland Park,Brooklyn,"[-73.890345709872, 40.6819989345173]",-73.890345709872,40.6819989345173
296,Madison,Brooklyn,"[-73.94841515328893, 40.60937770113766]",-73.94841515328893,40.60937770113766
297,Bronxdale,Bronx,"[-73.86172577555115, 40.85272297633017]",-73.86172577555115,40.85272297633017
298,Allerton,Bronx,"[-73.85931863221647, 40.86578787802982]",-73.85931863221647,40.86578787802982
299,Kingsbridge Heights,Bronx,"[-73.90152264513144, 40.8703923914147]",-73.90152264513144,40.8703923914147
300,Erasmus,Brooklyn,"[-73.94817709920184, 40.64692606658579]",-73.94817709920184,40.64692606658579
301,Hudson Yards,Manhattan,"[-74.00011136202637, 40.75665808227519]",-74.00011136202637,40.75665808227519
302,Hammels,Queens,"[-73.80553002968718, 40.58733774018741]",-73.80553002968718,40.58733774018741
303,Bayswater,Queens,"[-73.76596781445627, 40.611321691283834]",-73.76596781445627,40.611321691283834
304,Queensbridge,Queens,"[-73.94563070334091, 40.756091297094706]",-73.94563070334091,40.756091297094706
305,Fox Hills,Staten Island,"[-74.08173992211962, 40.61731079252983]",-74.08173992211962,40.61731079252983
