,id,borough,neighborhood,longitude,latitude,population,number_of_restaurants,average_review_count,average_restaurant_rating,average_price_level,yelp_category
50,nyu_2451_34572.51,Brooklyn,Gravesend,-73.97347087708445,40.59526001306593,29436.0,19,558,4.2,1,pizza
51,nyu_2451_34572.52,Brooklyn,Brighton Beach,-73.96509448785336,40.57682506566604,35547.0,26,330,4.1,2,russian
52,nyu_2451_34572.53,Brooklyn,Sheepshead Bay,-73.94318640482979,40.58689012678384,21506.0,20,1159,4.1,2,seafood
53,nyu_2451_34572.54,Brooklyn,Manhattan Terrace,-73.95743840559939,40.61443251335098,45000.0,20,504,4.2,2,kosher
54,nyu_2451_34572.55,Brooklyn,Flatbush,-73.95840106533903,40.63632589026677,105804.0,20,236,4.1,2,mexican
55,nyu_2451_34572.56,Brooklyn,Crown Heights,-73.94329119073582,40.67082917695294,142839.0,20,480,4.2,2,burgers
56,nyu_2451_34572.57,Brooklyn,East Flatbush,-73.93610256185836,40.64171776668961,42483.0,17,127,4.2,2,caribbean
57,nyu_2451_34572.58,Brooklyn,Kensington,-73.98042110559474,40.642381958003526,18446.0,20,218,4.0,2,delis
58,nyu_2451_34572.59,Brooklyn,Windsor Terrace,-73.98007340430172,40.65694583575104,20988.0,15,296,4.3,2,coffee
59,nyu_2451_34572.60,Brooklyn,Prospect Heights,-73.9648592426269,40.676822262254724,19849.0,20,548,4.3,2,newamerican
60,nyu_2451_34572.61,Brooklyn,Brownsville,-73.91023536176607,40.66394994339755,58300.0,20,102,3.8,1,caribbean
61,nyu_2451_34572.62,Brooklyn,Williamsburg,-73.95811529220927,40.70714439344251,32926.0,20,458,4.3,2,breakfast_brunch
62,nyu_2451_34572.63,Brooklyn,Bushwick,-73.92525797487045,40.69811611017901,129239.0,20,190,4.1,2,mexican
63,nyu_2451_34572.64,Brooklyn,Bedford Stuyvesant,-73.94178488690297,40.687231607720456,42483.0,20,383,4.2,1,sandwiches
64,nyu_2451_34572.65,Brooklyn,Brooklyn Heights,-73.99378225496424,40.695863722724084,11444.0,20,783,4.4,2,italian
65,nyu_2451_34572.66,Brooklyn,Cobble Hill,-73.99856139218463,40.687919722485574,11444.0,20,508,4.5,2,italian
66,nyu_2451_34572.67,Brooklyn,Carroll Gardens,-73.99465372828006,40.680540231076485,19176.0,20,519,4.4,2,italian
67,nyu_2451_34572.68,Brooklyn,Red Hook,-74.0127589747356,40.676253230250886,19176.0,17,569,4.3,1,bbq
68,nyu_2451_34572.69,Brooklyn,Gowanus,-73.99444087145339,40.673931143187154,33824.0,20,490,4.4,2,sandwiches
69,nyu_2451_34572.70,Brooklyn,Fort Greene,-73.97290574369092,40.68852726018977,26079.0,20,478,4.3,2,italian
70,nyu_2451_34572.71,Brooklyn,Park Slope,-73.97705030183924,40.67232052268197,33824.0,20,502,4.3,2,italian
71,nyu_2451_34572.72,Brooklyn,Cypress Hills,-73.87661596457296,40.68239101144211,24612.0,20,426,4.1,1,latin
72,nyu_2451_34572.73,Brooklyn,East New York,-73.88069863917366,40.669925700847045,91958.0,18,134,3.9,1,spanish
73,nyu_2451_34572.74,Brooklyn,Starrett City,-73.87936970045875,40.64758905230874,13354.0,9,1174,4.0,2,tradamerican
74,nyu_2451_34572.75,Brooklyn,Canarsie,-73.90209269778966,40.63556432797428,83693.0,25,187,3.9,1,caribbean
75,nyu_2451_34572.76,Brooklyn,Flatlands,-73.92911302644674,40.630446043757466,64762.0,12,525,4.0,1,caribbean
76,nyu_2451_34572.77,Brooklyn,Mill Island,-73.90818571777423,40.606336421685626,13000.0,1,2394,4.2,2,chinese
77,nyu_2451_34572.78,Brooklyn,Manhattan Beach,-73.94353722891886,40.57791350308657,21506.0,19,1147,4.2,2,pizza
78,nyu_2451_34572.79,Brooklyn,Coney Island,-73.98868295821637,40.57429256471601,15982.0,20,870,3.9,1,pizza
79,nyu_2451_34572.80,Brooklyn,Bath Beach,-73.99875221443519,40.59951870282238,29931.0,20,303,4.1,1,chinese
80,nyu_2451_34572.81,Brooklyn,Borough Park,-73.99049823044811,40.633130512758015,106357.0,18,252,4.2,2,kosher
81,nyu_2451_34572.82,Brooklyn,Dyker Heights,-74.01931375636022,40.619219457722636,42419.0,16,381,4.3,2,delis
82,nyu_2451_34572.83,Brooklyn,Gerritsen Beach,-73.93010170691196,40.590848433902046,21506.0,4,981,4.1,2,tradamerican
83,nyu_2451_34572.84,Brooklyn,Marine Park,-73.93134404108497,40.609747779894604,11308.0,10,399,4.0,2,chinese
84,nyu_2451_34572.85,Brooklyn,Clinton Hill,-73.96784306216367,40.693229421881504,34791.0,54,441,4.3,2,italian
85,nyu_2451_34572.86,Brooklyn,Sea Gate,-74.0078731120024,40.57637537890224,15982.0,0,0,0.0,0,N
86,nyu_2451_34572.87,Brooklyn,Downtown,-73.98346337431099,40.69084402109802,8624.0,60,815,4.3,2,cocktailbars
