,index,lodging,restaurant,school,health,bar,church,bank,store,clothing,tourist attraction,department store,office,electronics store,park,supermarket
106,nyu_2451_34572.106,11,60,60,27,23,60,28,60,26,3,4,7,15,19,29
107,nyu_2451_34572.107,13,60,60,15,60,54,60,60,60,15,4,11,11,25,26
108,nyu_2451_34572.108,8,60,60,17,50,50,55,60,52,4,3,11,14,14,23
109,nyu_2451_34572.109,12,60,60,16,60,57,60,60,60,10,10,15,17,19,27
110,nyu_2451_34572.110,11,60,49,11,21,28,32,52,14,3,3,6,5,28,15
111,nyu_2451_34572.111,18,60,60,0,39,43,39,60,31,10,5,7,9,27,19
112,nyu_2451_34572.112,16,60,60,9,20,39,57,60,36,8,9,17,10,32,25
113,nyu_2451_34572.113,60,60,60,18,60,49,60,60,60,18,14,60,33,32,29
114,nyu_2451_34572.114,60,60,60,60,60,60,60,60,60,19,20,60,60,31,32
115,nyu_2451_34572.115,60,60,60,60,60,60,60,60,60,20,16,60,59,31,28
116,nyu_2451_34572.116,20,60,60,37,60,53,60,60,60,8,17,51,35,31,18
117,nyu_2451_34572.117,38,60,60,40,60,60,60,60,60,16,0,60,35,38,36
118,nyu_2451_34572.118,13,60,60,19,60,60,60,60,60,10,6,14,14,28,26
119,nyu_2451_34572.119,10,60,60,12,60,60,27,60,57,6,2,7,12,36,35
120,nyu_2451_34572.120,18,60,56,33,60,35,60,60,60,13,9,60,20,46,19
121,nyu_2451_34572.121,40,60,60,60,60,60,60,60,60,17,11,60,36,53,45
122,nyu_2451_34572.122,38,60,60,48,60,60,60,60,60,15,0,60,35,40,39
123,nyu_2451_34572.123,13,60,60,33,60,39,60,60,0,10,8,31,17,28,20
124,nyu_2451_34572.124,17,60,60,16,36,50,46,60,18,2,3,10,11,18,26
125,nyu_2451_34572.125,14,60,60,15,33,60,36,60,0,4,0,11,14,15,20
126,nyu_2451_34572.126,19,60,60,39,60,60,60,59,60,11,11,60,38,20,20
127,nyu_2451_34572.127,17,60,60,38,60,27,60,60,56,18,8,60,35,39,12
128,nyu_2451_34572.128,18,60,60,39,60,29,60,60,54,32,7,39,32,53,18
129,nyu_2451_34572.129,1,60,43,9,60,47,51,60,44,2,4,10,16,9,24
130,nyu_2451_34572.130,8,60,27,12,35,60,35,60,29,0,2,10,28,28,29
131,nyu_2451_34572.131,9,60,47,20,59,58,48,60,60,0,7,16,31,25,39
132,nyu_2451_34572.132,9,60,54,33,50,60,52,60,60,0,10,15,36,13,36
133,nyu_2451_34572.133,1,28,5,5,4,6,12,23,5,1,0,4,1,5,2
134,nyu_2451_34572.134,6,60,39,10,15,24,12,60,60,6,6,17,13,15,29
135,nyu_2451_34572.135,0,60,28,14,16,13,32,58,32,0,3,7,11,12,15
136,nyu_2451_34572.136,1,60,26,9,18,26,15,54,11,0,0,18,5,17,15
137,nyu_2451_34572.137,1,60,24,8,18,33,16,56,27,2,1,11,9,11,14
138,nyu_2451_34572.138,18,60,49,20,27,60,53,60,57,1,8,19,30,9,18
139,nyu_2451_34572.139,18,60,49,7,31,19,20,60,24,4,0,15,13,11,18
140,nyu_2451_34572.140,2,60,29,7,24,16,16,55,10,3,0,7,8,9,11
141,nyu_2451_34572.141,7,60,19,8,11,47,6,36,7,0,0,5,5,7,13
142,nyu_2451_34572.142,3,39,18,1,10,12,13,29,3,0,0,0,1,9,5
143,nyu_2451_34572.143,0,60,32,7,32,44,34,60,38,0,6,5,15,7,16
144,nyu_2451_34572.144,2,49,15,4,8,18,11,30,11,1,2,6,3,7,7
145,nyu_2451_34572.145,4,60,32,18,13,13,36,60,49,0,11,16,14,11,25
146,nyu_2451_34572.146,3,60,33,5,14,48,23,60,32,1,4,13,6,11,27
147,nyu_2451_34572.147,6,60,34,6,25,34,22,48,26,1,5,5,9,12,14
148,nyu_2451_34572.148,4,44,22,3,11,36,4,33,10,0,0,6,2,7,9
149,nyu_2451_34572.149,1,42,5,4,5,15,9,50,6,1,3,3,6,10,8
150,nyu_2451_34572.150,2,33,25,3,6,18,10,20,4,0,0,8,3,6,9
151,nyu_2451_34572.151,2,0,28,9,16,37,35,37,10,2,0,9,9,6,5
152,nyu_2451_34572.152,1,60,25,4,20,56,20,39,11,0,0,5,9,5,8
153,nyu_2451_34572.153,0,49,15,4,3,23,8,31,7,1,0,5,8,11,4
154,nyu_2451_34572.154,0,39,15,2,3,18,7,20,4,1,0,3,7,11,3
155,nyu_2451_34572.155,2,28,14,8,2,7,10,17,7,1,1,3,2,5,2
156,nyu_2451_34572.156,7,38,11,5,7,13,9,38,7,0,0,13,6,4,8
157,nyu_2451_34572.157,4,58,29,3,5,7,26,39,9,1,0,15,10,8,12
158,nyu_2451_34572.158,6,50,18,6,4,11,15,29,3,0,2,3,2,11,5
159,nyu_2451_34572.159,11,60,55,15,12,35,23,60,23,3,5,12,14,10,18
160,nyu_2451_34572.160,15,20,59,18,16,60,33,60,60,4,12,33,38,12,31
161,nyu_2451_34572.161,0,36,19,0,2,16,9,19,0,1,0,2,1,9,4
162,nyu_2451_34572.162,4,51,14,2,8,0,9,51,9,1,1,4,7,3,8
163,nyu_2451_34572.163,3,49,15,8,3,60,4,47,6,0,0,5,4,2,7
164,nyu_2451_34572.164,2,58,32,13,5,60,18,55,60,2,13,11,26,9,20
165,nyu_2451_34572.165,3,34,12,6,4,60,6,36,10,0,1,2,1,2,6
166,nyu_2451_34572.166,8,35,18,4,3,37,8,36,11,1,2,7,3,0,4
167,nyu_2451_34572.167,6,28,13,2,0,34,4,26,10,0,0,6,3,5,4
168,nyu_2451_34572.168,1,32,20,5,2,0,8,38,12,0,0,7,4,4,5
169,nyu_2451_34572.169,4,25,12,3,4,16,7,30,18,0,5,3,8,4,7
170,nyu_2451_34572.170,4,40,47,14,2,58,0,60,15,4,1,10,12,14,31
171,nyu_2451_34572.171,1,3,0,0,2,2,0,5,1,1,0,0,0,4,1
172,nyu_2451_34572.172,0,4,1,0,4,3,2,4,1,2,0,0,0,2,1
173,nyu_2451_34572.173,1,60,13,3,32,12,16,39,18,1,1,5,7,5,11
174,nyu_2451_34572.174,0,34,16,5,3,11,6,29,6,0,0,4,3,10,4
175,nyu_2451_34572.175,0,11,4,3,1,3,10,15,9,3,3,6,2,10,1
176,nyu_2451_34572.176,1,10,9,3,0,11,1,13,2,1,0,5,0,14,4
177,nyu_2451_34572.177,1,19,5,5,5,14,2,16,0,0,0,4,1,11,5
178,nyu_2451_34572.178,3,49,16,8,12,11,5,36,10,1,1,6,2,10,3
179,nyu_2451_34572.179,0,6,0,4,3,1,2,9,3,0,0,0,0,5,1
180,nyu_2451_34572.180,2,60,36,13,16,60,28,55,18,1,2,6,10,8,11
181,nyu_2451_34572.181,2,40,9,5,3,8,16,52,14,1,1,4,3,5,6
182,nyu_2451_34572.182,1,31,16,10,4,27,7,33,7,0,0,6,3,7,7
183,nyu_2451_34572.183,5,60,34,7,15,24,25,20,36,1,4,0,19,8,16
184,nyu_2451_34572.184,1,56,26,6,5,17,14,27,5,3,0,5,5,8,7
185,nyu_2451_34572.185,7,39,32,6,4,17,12,16,2,0,1,10,9,7,6
186,nyu_2451_34572.186,17,60,60,10,45,20,36,60,27,2,2,11,12,11,20
187,nyu_2451_34572.187,5,36,14,8,4,3,20,30,8,0,0,3,1,7,2
188,nyu_2451_34572.188,3,59,12,6,8,37,12,27,12,0,4,3,6,3,8
189,nyu_2451_34572.189,6,60,40,19,10,35,28,40,37,2,8,19,14,11,0
