,neighborhood,population
233,Grant City,10000.0
234,New Dorp Beach,5000.0
235,Bay Terrace,7000.0
236,Huguenot,6942.0
237,Pleasant Plains,5500.0
238,Butler Manor,1000.0
239,Charleston,7771.0
240,Rossville,10382.0
241,Arden Heights,25238.0
242,Greenridge,1000.0
243,Heartland Village,7678.0
244,Chelsea,3000.0
245,Bloomfield,13199.0
246,Bulls Head,17000.0
247,Carnegie Hill,30604.0
248,Noho,5000.0
249,Civic Center,10686.0
250,Midtown South,14315.0
251,Richmond Town,4000.0
252,Shore Acres,1000.0
253,Clifton,11230.0
254,Concord,8494.0
255,Emerson Hill,11000.0
256,Randall Manor,7000.0
257,Howland Hook,2000.0
258,Elm Park,17000.0
259,Remsen Village,500.0
260,New Lots,91958.0
261,Paerdegat Basin,15000.0
262,Mill Basin,11308.0
263,Jamaica Hills,19569.0
264,Utopia,8906.0
265,Pomonok,17017.0
266,Astoria Heights,13907.0
267,Claremont Village,31078.0
268,Concourse Village,31142.0
269,Mount Eden,13000.0
270,Mount Hope,51807.0
271,Sutton Place,18000.0
272,Hunters Point,17077.0
273,Turtle Bay,25616.0
274,Tudor City,16000.0
275,Stuyvesant Town,10524.0
276,Flatiron,23383.0
277,Sunnyside Gardens,4000.0
278,Blissville,900.0
279,Fulton Ferry,1042.0
280,Vinegar Hill,8624.0
281,Weeksville,35000.0
282,Broadway Junction,300.0
283,Dumbo,8624.0
284,Manor Heights,3000.0
285,Willowbrook,3000.0
286,Sandy Ground,50.0
287,Egbertville,1000.0
288,Roxbury,2200.0
289,Homecrest,44316.0
290,Middle Village,37929.0
291,Prince's Bay,6942.0
292,Lighthouse Hill,7678.0
293,Richmond Valley,4000.0
294,Malba,15000.0
295,Highland Park,20000.0
296,Madison,38917.0
297,Bronxdale,35538.0
298,Allerton,21242.0
299,Kingsbridge Heights,32496.0
300,Erasmus,29938.0
301,Hudson Yards,23383.0
302,Hammels,12295.0
303,Bayswater,25029.0
304,Queensbridge,6677.0
305,Fox Hills,11230.0
