,id,borough,neighborhood,longitude,latitude
73,nyu_2451_34572.74,Brooklyn,Starrett City,-73.87936970045875,40.64758905230874
74,nyu_2451_34572.75,Brooklyn,Canarsie,-73.90209269778966,40.63556432797428
75,nyu_2451_34572.76,Brooklyn,Flatlands,-73.92911302644674,40.630446043757466
76,nyu_2451_34572.77,Brooklyn,Mill Island,-73.90818571777423,40.606336421685626
77,nyu_2451_34572.78,Brooklyn,Manhattan Beach,-73.94353722891886,40.57791350308657
78,nyu_2451_34572.79,Brooklyn,Coney Island,-73.98868295821637,40.57429256471601
79,nyu_2451_34572.80,Brooklyn,Bath Beach,-73.99875221443519,40.59951870282238
80,nyu_2451_34572.81,Brooklyn,Borough Park,-73.99049823044811,40.633130512758015
81,nyu_2451_34572.82,Brooklyn,Dyker Heights,-74.01931375636022,40.619219457722636
82,nyu_2451_34572.83,Brooklyn,Gerritsen Beach,-73.93010170691196,40.590848433902046
83,nyu_2451_34572.84,Brooklyn,Marine Park,-73.93134404108497,40.609747779894604
84,nyu_2451_34572.85,Brooklyn,Clinton Hill,-73.96784306216367,40.693229421881504
85,nyu_2451_34572.86,Brooklyn,Sea Gate,-74.0078731120024,40.57637537890224
86,nyu_2451_34572.87,Brooklyn,Downtown,-73.98346337431099,40.69084402109802
87,nyu_2451_34572.88,Brooklyn,Boerum Hill,-73.98374824115798,40.685682912091444
88,nyu_2451_34572.89,Brooklyn,Prospect Lefferts Gardens,-73.95489867077713,40.658420017469815
89,nyu_2451_34572.90,Brooklyn,Ocean Hill,-73.91306831787395,40.678402554795355
90,nyu_2451_34572.91,Brooklyn,City Line,-73.86797598081334,40.67856995727479
91,nyu_2451_34572.92,Brooklyn,Bergen Beach,-73.89855633630317,40.61514955045308
92,nyu_2451_34572.93,Brooklyn,Midwood,-73.95759523489838,40.62559589869843
93,nyu_2451_34572.94,Brooklyn,Prospect Park South,-73.96261316716048,40.647008603185185
94,nyu_2451_34572.95,Brooklyn,Georgetown,-73.91607483951324,40.62384524478419
95,nyu_2451_34572.96,Brooklyn,East Williamsburg,-73.93885815269195,40.70849241041548
96,nyu_2451_34572.97,Brooklyn,North Side,-73.95880857587582,40.714822906532014
97,nyu_2451_34572.98,Brooklyn,South Side,-73.95800095153331,40.71086147265064
98,nyu_2451_34572.99,Brooklyn,Ocean Parkway,-73.96836678035541,40.61305976667942
99,nyu_2451_34572.100,Brooklyn,Fort Hamilton,-74.03197914537984,40.61476812694226
100,nyu_2451_34572.101,Manhattan,Chinatown,-73.99427936255978,40.71561842231432
101,nyu_2451_34572.102,Manhattan,Washington Heights,-73.93690027985234,40.85190252555305
102,nyu_2451_34572.103,Manhattan,Inwood,-73.92121042203897,40.86768396449915
103,nyu_2451_34572.104,Manhattan,Hamilton Heights,-73.94968791883366,40.823604284811935
104,nyu_2451_34572.105,Manhattan,Manhattanville,-73.9573853935188,40.8169344294978
105,nyu_2451_34572.106,Manhattan,Central Harlem,-73.94321112603905,40.81597606742414
106,nyu_2451_34572.107,Manhattan,East Harlem,-73.94418223148524,40.79224946663033
107,nyu_2451_34572.108,Manhattan,Upper East Side,-73.96050763135,40.775638573301805
108,nyu_2451_34572.109,Manhattan,Yorkville,-73.94711784471826,40.775929849884875
109,nyu_2451_34572.110,Manhattan,Lenox Hill,-73.9588596881376,40.76811265828733
110,nyu_2451_34572.111,Manhattan,Roosevelt Island,-73.94916769227953,40.76215960576283
111,nyu_2451_34572.112,Manhattan,Upper West Side,-73.97705923630603,40.787657998534854
112,nyu_2451_34572.113,Manhattan,Lincoln Square,-73.98533777001262,40.77352888942166
113,nyu_2451_34572.114,Manhattan,Clinton,-73.99611936309479,40.75910089146212
114,nyu_2451_34572.115,Manhattan,Midtown,-73.98166882730304,40.75469110270623
115,nyu_2451_34572.116,Manhattan,Murray Hill,-73.97833207924127,40.748303077252174
116,nyu_2451_34572.117,Manhattan,Chelsea,-74.00311633472813,40.744034706747975
117,nyu_2451_34572.118,Manhattan,Greenwich Village,-73.99991402945902,40.72693288536128
118,nyu_2451_34572.119,Manhattan,East Village,-73.98222616506416,40.727846777270244
119,nyu_2451_34572.120,Manhattan,Lower East Side,-73.98089031999291,40.71780674892765
120,nyu_2451_34572.121,Manhattan,Tribeca,-74.01068328559087,40.721521967443216
121,nyu_2451_34572.122,Manhattan,Little Italy,-73.99730467208073,40.71932379395907
122,nyu_2451_34572.123,Manhattan,Soho,-74.00065666959759,40.72218384131794
123,nyu_2451_34572.124,Manhattan,West Village,-74.00617998126812,40.73443393572434
124,nyu_2451_34572.125,Manhattan,Manhattan Valley,-73.96428617740655,40.797307041702865
125,nyu_2451_34572.126,Manhattan,Morningside Heights,-73.96389627905332,40.807999738165826
126,nyu_2451_34572.127,Manhattan,Gramercy,-73.98137594833541,40.737209832715
127,nyu_2451_34572.128,Manhattan,Battery Park City,-74.01686930508617,40.71193198394565
128,nyu_2451_34572.129,Manhattan,Financial District,-74.0106654452127,40.70710710727048
129,nyu_2451_34572.130,Queens,Astoria,-73.91565374304234,40.76850859335492
130,nyu_2451_34572.131,Queens,Woodside,-73.90184166838284,40.74634908860222
131,nyu_2451_34572.132,Queens,Jackson Heights,-73.88282109164365,40.75198138007367
132,nyu_2451_34572.133,Queens,Elmhurst,-73.88165622288388,40.744048505122024
133,nyu_2451_34572.134,Queens,Howard Beach,-73.8381376460028,40.65422527738487
134,nyu_2451_34572.135,Queens,Corona,-73.85682497345258,40.74238175015667
135,nyu_2451_34572.136,Queens,Forest Hills,-73.84447500788983,40.72526378216503
136,nyu_2451_34572.137,Queens,Kew Gardens,-73.82981905825703,40.7051790354148
137,nyu_2451_34572.138,Queens,Richmond Hill,-73.83183321446887,40.69794731471763
138,nyu_2451_34572.139,Queens,Flushing,-73.83177300329582,40.76445419697846
139,nyu_2451_34572.140,Queens,Long Island City,-73.93920223915505,40.75021734610528
140,nyu_2451_34572.141,Queens,Sunnyside,-73.92691617561577,40.74017628351924
141,nyu_2451_34572.142,Queens,East Elmhurst,-73.86704147658772,40.76407323883091
142,nyu_2451_34572.143,Queens,Maspeth,-73.89621713626859,40.725427374093606
143,nyu_2451_34572.144,Queens,Ridgewood,-73.90143517559589,40.70832315613858
144,nyu_2451_34572.145,Queens,Glendale,-73.87074167435605,40.70276242967838
145,nyu_2451_34572.146,Queens,Rego Park,-73.8578268690537,40.72897409480735
146,nyu_2451_34572.147,Queens,Woodhaven,-73.8581104655432,40.68988687915789
147,nyu_2451_34572.148,Queens,Ozone Park,-73.84320266173447,40.680708468265415
148,nyu_2451_34572.149,Queens,South Ozone Park,-73.80986478649041,40.66854957767195
149,nyu_2451_34572.150,Queens,College Point,-73.84304528896125,40.784902749260205
150,nyu_2451_34572.151,Queens,Whitestone,-73.81420216610863,40.78129076602694
151,nyu_2451_34572.152,Queens,Bayside,-73.7742736306867,40.76604063281064
152,nyu_2451_34572.153,Queens,Auburndale,-73.79176243728061,40.76172954903262
153,nyu_2451_34572.154,Queens,Little Neck,-73.7388977558074,40.7708261928267
154,nyu_2451_34572.155,Queens,Douglaston,-73.7424982072733,40.76684609790763
155,nyu_2451_34572.156,Queens,Glen Oaks,-73.71548118999145,40.74944079974332
156,nyu_2451_34572.157,Queens,Bellerose,-73.72012814826903,40.72857318176675
157,nyu_2451_34572.158,Queens,Kew Gardens Hills,-73.82087764933566,40.722578244228046
158,nyu_2451_34572.159,Queens,Fresh Meadows,-73.78271337003264,40.7343944653313
159,nyu_2451_34572.160,Queens,Briarwood,-73.81174822458634,40.71093547252271
