,neighborhood,cluster_id
291,Prince's Bay,0
292,Lighthouse Hill,0
293,Richmond Valley,0
294,Malba,0
295,Highland Park,-1
296,Madison,0
297,Bronxdale,0
298,Allerton,-1
299,Kingsbridge Heights,1
300,Erasmus,-1
301,Hudson Yards,4
302,Hammels,0
303,Bayswater,0
304,Queensbridge,-1
305,Fox Hills,0
