,id,yelp_category
171,nyu_2451_34572.172,tradamerican
172,nyu_2451_34572.173,newamerican
173,nyu_2451_34572.174,greek
174,nyu_2451_34572.175,pizza
175,nyu_2451_34572.176,burgers
176,nyu_2451_34572.177,cafes
177,nyu_2451_34572.178,sandwiches
178,nyu_2451_34572.179,juicebars
179,nyu_2451_34572.180,N
180,nyu_2451_34572.181,korean
181,nyu_2451_34572.182,indpak
182,nyu_2451_34572.183,sandwiches
183,nyu_2451_34572.184,halal
184,nyu_2451_34572.185,chinese
185,nyu_2451_34572.186,hotdogs
186,nyu_2451_34572.187,pizza
187,nyu_2451_34572.188,pizza
188,nyu_2451_34572.189,chinese
189,nyu_2451_34572.190,pizza
190,nyu_2451_34572.191,sandwiches
191,nyu_2451_34572.192,pizza
192,nyu_2451_34572.193,N
193,nyu_2451_34572.194,delis
194,nyu_2451_34572.195,hotdogs
195,nyu_2451_34572.196,mexican
196,nyu_2451_34572.197,sushi
197,nyu_2451_34572.198,pizza
198,nyu_2451_34572.199,chinese
199,nyu_2451_34572.200,pizza
200,nyu_2451_34572.201,pizza
201,nyu_2451_34572.202,italian
202,nyu_2451_34572.203,chickenshop
203,nyu_2451_34572.204,N
204,nyu_2451_34572.205,sandwiches
205,nyu_2451_34572.206,mexican
206,nyu_2451_34572.207,delis
207,nyu_2451_34572.208,N
208,nyu_2451_34572.209,sandwiches
209,nyu_2451_34572.210,mexican
210,nyu_2451_34572.211,spanish
211,nyu_2451_34572.212,italian
212,nyu_2451_34572.213,greek
213,nyu_2451_34572.214,pizza
214,nyu_2451_34572.215,pizza
215,nyu_2451_34572.216,italian
216,nyu_2451_34572.217,italian
217,nyu_2451_34572.218,mexican
218,nyu_2451_34572.219,mexican
219,nyu_2451_34572.220,tradamerican
220,nyu_2451_34572.221,newamerican
221,nyu_2451_34572.222,caribbean
222,nyu_2451_34572.223,kosher
223,nyu_2451_34572.224,caribbean
224,nyu_2451_34572.225,pizza
225,nyu_2451_34572.226,sandwiches
226,nyu_2451_34572.227,tapasmallplates
227,nyu_2451_34572.228,dominican
228,nyu_2451_34572.229,italian
229,nyu_2451_34572.230,sandwiches
230,nyu_2451_34572.231,italian
231,nyu_2451_34572.232,pizza
232,nyu_2451_34572.233,russian
233,nyu_2451_34572.234,chinese
234,nyu_2451_34572.235,italian
235,nyu_2451_34572.236,italian
236,nyu_2451_34572.237,pizza
237,nyu_2451_34572.238,pizza
238,nyu_2451_34572.239,N
239,nyu_2451_34572.240,italian
240,nyu_2451_34572.241,pizza
241,nyu_2451_34572.242,N
242,nyu_2451_34572.243,pizza
243,nyu_2451_34572.244,pizza
244,nyu_2451_34572.245,steak
245,nyu_2451_34572.246,cafes
246,nyu_2451_34572.247,pizza
247,nyu_2451_34572.248,italian
248,nyu_2451_34572.249,cocktailbars
249,nyu_2451_34572.250,newamerican
250,nyu_2451_34572.251,korean
251,nyu_2451_34572.252,italian
252,nyu_2451_34572.253,delis
253,nyu_2451_34572.254,mexican
254,nyu_2451_34572.255,pizza
255,nyu_2451_34572.256,N
256,nyu_2451_34572.257,N
257,nyu_2451_34572.258,N
258,nyu_2451_34572.259,delis
259,nyu_2451_34572.260,caribbean
260,nyu_2451_34572.261,spanish
261,nyu_2451_34572.262,chinese
262,nyu_2451_34572.263,italian
263,nyu_2451_34572.264,halal
264,nyu_2451_34572.265,delis
265,nyu_2451_34572.266,pizza
266,nyu_2451_34572.267,italian
267,nyu_2451_34572.268,breakfast_brunch
268,nyu_2451_34572.269,pizza
269,nyu_2451_34572.270,hotdogs
270,nyu_2451_34572.271,chinese
271,nyu_2451_34572.272,newamerican
272,nyu_2451_34572.273,cocktailbars
273,nyu_2451_34572.274,italian
274,nyu_2451_34572.275,sandwiches
275,nyu_2451_34572.276,italian
276,nyu_2451_34572.277,italian
277,nyu_2451_34572.278,breakfast_brunch
278,nyu_2451_34572.279,delis
279,nyu_2451_34572.280,sandwiches
280,nyu_2451_34572.281,breakfast_brunch
281,nyu_2451_34572.282,caribbean
282,nyu_2451_34572.283,sandwiches
283,nyu_2451_34572.284,breakfast_brunch
284,nyu_2451_34572.285,burgers
285,nyu_2451_34572.286,chinese
286,nyu_2451_34572.287,N
287,nyu_2451_34572.288,pizza
288,nyu_2451_34572.289,pizza
289,nyu_2451_34572.290,chinese
290,nyu_2451_34572.291,delis
291,nyu_2451_34572.292,italian
292,nyu_2451_34572.293,italian
293,nyu_2451_34572.294,italian
294,nyu_2451_34572.295,chinese
295,nyu_2451_34572.296,spanish
296,nyu_2451_34572.297,kosher
297,nyu_2451_34572.298,chinese
298,nyu_2451_34572.299,pizza
299,nyu_2451_34572.300,pizza
300,nyu_2451_34572.301,caribbean
301,nyu_2451_34572.302,newamerican
302,nyu_2451_34572.303,chicken_wings
303,nyu_2451_34572.304,N
304,nyu_2451_34572.305,tradamerican
305,nyu_2451_34572.306,spanish
