,id,number_of_restaurants,average_review_count,average_restaurant_rating,average_price_level
194,nyu_2451_34572.195,19,386,4.0,1
195,nyu_2451_34572.196,39,324,4.0,1
196,nyu_2451_34572.197,20,708,4.2,2
197,nyu_2451_34572.198,18,316,4.1,2
198,nyu_2451_34572.199,11,156,4.2,1
199,nyu_2451_34572.200,19,201,4.0,2
200,nyu_2451_34572.201,17,253,4.4,2
201,nyu_2451_34572.202,32,263,4.2,2
202,nyu_2451_34572.203,4,246,4.0,1
203,nyu_2451_34572.204,0,0,0.0,0
204,nyu_2451_34572.205,1,787,4.2,2
205,nyu_2451_34572.206,20,93,3.8,2
206,nyu_2451_34572.207,5,337,4.4,2
207,nyu_2451_34572.208,2,63,4.3,1
208,nyu_2451_34572.209,14,257,4.1,2
209,nyu_2451_34572.210,10,303,4.1,1
210,nyu_2451_34572.211,5,178,3.5,2
211,nyu_2451_34572.212,29,306,4.2,2
212,nyu_2451_34572.213,3,153,4.5,2
213,nyu_2451_34572.214,16,380,4.3,2
214,nyu_2451_34572.215,16,352,3.6,2
215,nyu_2451_34572.216,10,240,3.9,2
216,nyu_2451_34572.217,6,134,4.1,1
217,nyu_2451_34572.218,6,192,4.5,2
218,nyu_2451_34572.219,20,243,4.1,2
219,nyu_2451_34572.220,2,38,4.1,2
220,nyu_2451_34572.221,3,116,2.7,2
221,nyu_2451_34572.222,40,272,4.0,1
222,nyu_2451_34572.223,20,529,4.2,1
223,nyu_2451_34572.224,20,229,4.0,2
224,nyu_2451_34572.225,6,183,4.3,1
225,nyu_2451_34572.226,20,205,4.2,2
226,nyu_2451_34572.227,17,393,4.0,1
227,nyu_2451_34572.228,3,69,4.5,1
228,nyu_2451_34572.229,9,183,4.3,2
229,nyu_2451_34572.230,9,225,4.2,2
230,nyu_2451_34572.231,10,318,4.2,2
231,nyu_2451_34572.232,20,377,4.3,2
232,nyu_2451_34572.233,4,139,4.3,2
233,nyu_2451_34572.234,17,343,4.3,2
234,nyu_2451_34572.235,9,442,4.3,2
235,nyu_2451_34572.236,3,219,4.5,2
236,nyu_2451_34572.237,6,112,4.3,1
237,nyu_2451_34572.238,5,306,4.3,1
238,nyu_2451_34572.239,1,0,0.0,0
239,nyu_2451_34572.240,12,348,4.4,2
240,nyu_2451_34572.241,10,134,4.2,2
241,nyu_2451_34572.242,3,236,4.2,2
242,nyu_2451_34572.243,9,281,3.8,2
243,nyu_2451_34572.244,9,280,4.0,1
244,nyu_2451_34572.245,7,295,4.5,2
245,nyu_2451_34572.246,0,0,0.0,0
246,nyu_2451_34572.247,26,417,3.8,2
247,nyu_2451_34572.248,20,658,4.3,2
248,nyu_2451_34572.249,20,936,4.4,2
249,nyu_2451_34572.250,60,961,4.3,2
250,nyu_2451_34572.251,20,969,4.3,2
251,nyu_2451_34572.252,5,184,4.4,2
252,nyu_2451_34572.253,11,231,4.4,2
253,nyu_2451_34572.254,18,242,4.2,2
254,nyu_2451_34572.255,6,156,4.3,2
255,nyu_2451_34572.256,1,302,4.1,2
256,nyu_2451_34572.257,12,279,4.3,2
257,nyu_2451_34572.258,0,0,0.0,0
258,nyu_2451_34572.259,20,433,4.0,2
259,nyu_2451_34572.260,0,0,0.0,0
260,nyu_2451_34572.261,20,241,3.2,1
261,nyu_2451_34572.262,12,204,4.0,1
262,nyu_2451_34572.263,18,319,3.9,2
263,nyu_2451_34572.264,38,266,3.7,1
264,nyu_2451_34572.265,12,492,4.1,2
265,nyu_2451_34572.266,8,278,4.2,2
266,nyu_2451_34572.267,6,711,4.3,2
267,nyu_2451_34572.268,17,75,3.3,1
268,nyu_2451_34572.269,20,457,4.1,1
269,nyu_2451_34572.270,20,146,3.9,1
270,nyu_2451_34572.271,38,228,3.9,1
271,nyu_2451_34572.272,20,449,4.3,2
272,nyu_2451_34572.273,20,866,4.4,2
273,nyu_2451_34572.274,20,734,4.3,2
274,nyu_2451_34572.275,20,713,4.3,2
275,nyu_2451_34572.276,17,585,4.4,2
276,nyu_2451_34572.277,20,1020,4.4,2
277,nyu_2451_34572.278,20,430,4.4,2
278,nyu_2451_34572.279,12,317,4.4,2
279,nyu_2451_34572.280,20,1183,4.3,2
280,nyu_2451_34572.281,13,423,4.2,2
281,nyu_2451_34572.282,20,185,4.2,1
282,nyu_2451_34572.283,16,246,4.1,1
283,nyu_2451_34572.284,20,1306,4.2,2
284,nyu_2451_34572.285,6,138,4.3,1
285,nyu_2451_34572.286,4,54,4.3,2
286,nyu_2451_34572.287,1,1,5.0,0
287,nyu_2451_34572.288,3,75,3.9,0
288,nyu_2451_34572.289,0,0,0.0,0
289,nyu_2451_34572.290,20,188,4.3,2
290,nyu_2451_34572.291,10,423,4.2,2
291,nyu_2451_34572.292,3,135,4.2,1
292,nyu_2451_34572.293,1,232,4.5,2
293,nyu_2451_34572.294,14,334,4.1,2
294,nyu_2451_34572.295,2,158,4.5,2
295,nyu_2451_34572.296,16,211,3.8,1
296,nyu_2451_34572.297,12,455,4.2,2
297,nyu_2451_34572.298,20,624,4.2,2
298,nyu_2451_34572.299,20,447,4.1,1
299,nyu_2451_34572.300,15,477,4.0,1
300,nyu_2451_34572.301,36,163,4.0,1
301,nyu_2451_34572.302,20,848,4.3,2
302,nyu_2451_34572.303,17,257,4.3,2
303,nyu_2451_34572.304,0,0,0.0,0
304,nyu_2451_34572.305,17,222,4.1,2
305,nyu_2451_34572.306,5,213,4.3,1
